x,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,window_cycles_saved_vs_stride,total_eligible_callbacks,total_completed_updates
1.0,0.3958931626875445,0.516695753344968,0.24988746342561333,0.994847670250896,1.230379746835443,257123.0,257123.0,16196.0,253.0
2.0,0.4080110522033821,0.5853293413173652,0.24854327788960695,1.0,1.1707286821705427,533441.0,276318.0,32320.0,505.0
3.0,0.4088071783270057,0.5878015248093988,0.25294465659119025,1.0,1.1524824893076304,822797.0,289356.0,48453.0,757.0
4.0,0.40884094002344296,0.5912043978010995,0.24447199834676586,1.0,1.2022360248447206,1118146.0,295349.0,64553.0,1008.0
5.0,0.4077543459477577,0.5857782197911486,0.24988068091424934,1.0,1.1655952528124613,1407993.0,289847.0,80731.0,1261.0
6.0,0.404922070722879,0.5816540981579923,0.24968159626406283,1.0,1.1686201550387596,1695340.0,287347.0,96857.0,1513.0
7.0,0.4080008976019747,0.5849196538936959,0.25601904452740354,0.9989444796284568,1.142336217552534,1973504.0,278164.0,113036.0,1766.0
8.0,0.4093249127012292,0.5896220531370837,0.25841898097528976,0.9997884940778342,1.133965656189945,2258155.0,284651.0,129167.0,2018.0
9.0,0.4057409092734925,0.5856100877735196,0.26936199249402937,0.9995779700358726,1.0881752366808985,2540632.0,282477.0,145328.0,2270.0
10.0,0.40880584134490583,0.5869781312127237,0.2725437027635147,0.9997883597883598,1.0734456279415407,2823591.0,282959.0,161476.0,2523.0
11.0,0.4091162557025692,0.5897179935113551,0.26859903381642514,1.0,1.090351366424986,3109851.0,286260.0,177613.0,2775.0
12.0,0.39237643967820424,0.5491262585348918,0.2680033888731997,0.9797646087136073,1.0769932494070424,3390445.0,280594.0,194056.0,3032.0
13.0,0.38743831981948473,0.5473119506905605,0.26503426929029406,0.9767773477286616,1.0981367967469806,3691292.0,300847.0,210533.0,3289.0
14.0,0.3831543874625754,0.5386908047245833,0.2687816699713593,0.9938900203665988,1.1019541206457095,3989747.0,298455.0,227011.0,3547.0
15.0,0.4084149822952105,0.5887176938369781,0.27023327439685163,1.0,1.0892768389662029,4276971.0,287224.0,243107.0,3798.0
16.0,0.40835911100221534,0.5890632785251619,0.2612707182320442,0.9997885835095137,1.1234560238346472,4564121.0,287150.0,259218.0,4050.0
17.0,0.40793615309680653,0.5862154764866883,0.2729853426800301,0.9995757318625371,1.069454770755886,4855522.0,291401.0,275358.0,4302.0
18.0,0.4075321726273681,0.5867511807109123,0.26555293058836765,1.0,1.1027167845180499,5136383.0,280861.0,291480.0,4554.0
19.0,0.4088835679507246,0.591573946743343,0.2713925212204634,0.999788717515318,1.082914104713993,5430542.0,294159.0,307581.0,4805.0
20.0,0.40887019352644,0.5858371774093006,0.2712735249971135,0.9995745586045522,1.0746324213660896,5716521.0,285979.0,323700.0,5057.0
21.0,0.4093735070659914,0.5862197856964865,0.2700918484500574,0.9997875053123672,1.0807792530090583,6005056.0,288535.0,339818.0,5309.0
22.0,0.40675688263152177,0.5870863398855437,0.27087997244704665,0.9995763609404787,1.0831260880378015,6290929.0,285873.0,355902.0,5560.0
23.0,0.4079235061841204,0.5854568054692355,0.27614915572232646,1.0,1.0572774609471858,6566007.0,275078.0,372034.0,5813.0
24.0,0.40918171023224337,0.574560857107263,0.27264128635611257,1.0,1.0487290762554247,6833889.0,267882.0,388164.0,6065.0
25.0,0.431793844346955,0.5883458646616542,0.2729651162790698,1.0,1.067858694977339,6911684.0,77795.0,404271.0,6316.0
