x,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,window_cycles_saved_vs_stride,total_eligible_callbacks,total_completed_updates
0.1,0.35488805056444944,0.5028530670470756,0.4096455549099361,1.0,1.0373719107896322,46069.0,46069.0,1659.0,0.0
0.2,0.4088140304975267,0.5792759051186017,0.2637862421830586,1.0,1.0945861854387056,73332.0,27263.0,3266.0,0.0
0.3,0.4142158893215144,0.5811320754716981,0.26521239954075776,1.0,1.0840074673304294,99616.0,26284.0,4873.0,0.0
0.4,0.4087605562413649,0.5825,0.2593210907067334,0.9957264957264957,1.1072088724584104,128693.0,29077.0,6496.0,0.0
0.5,0.41159716162597343,0.5894206549118388,0.26606026151222284,1.0,1.096633416458853,157694.0,29001.0,8100.0,0.0
0.6,0.40954904554594934,0.5942571785268415,0.2644444444444444,1.0,1.1070110701107012,188696.0,31002.0,9726.0,0.0
0.7,0.4086386204360174,0.5675,0.25577464788732396,0.9978021978021978,1.1031696706028589,217412.0,28716.0,11335.0,0.0
0.8,0.4045421998195742,0.5758706467661692,0.2624716553287982,0.9978448275862069,1.0835380835380835,247201.0,29789.0,12963.0,0.0
0.9,0.41654517432415544,0.6002522068095839,0.26298342541436465,1.0,1.1319574734208881,275281.0,28080.0,14563.0,0.0
1.0,0.40638677454880906,0.5875776397515527,0.2649859943977591,1.0,1.0930802204531538,305430.0,30149.0,16196.0,0.0
1.1,0.41225383293001167,0.5838587641866331,0.2605514912774339,1.0,1.1099312929419114,334488.0,29058.0,17796.0,0.0
1.2,0.41279158565631796,0.5769712140175219,0.2634285714285714,1.0,1.0883084577114428,362323.0,27835.0,19404.0,0.0
1.3,0.40817159533868036,0.5773067331670823,0.2575083426028921,1.0,1.105781057810578,389612.0,27289.0,21030.0,0.0
1.4,0.4136470432509348,0.5796737766624843,0.26057529610829105,1.0,1.1039850560398505,417051.0,27439.0,22636.0,0.0
1.5,0.4084800457497651,0.5842696629213483,0.26,1.0,1.1063306699446835,444941.0,27890.0,24263.0,0.0
1.6,0.41020087536866806,0.5734177215189873,0.2565118912797282,1.0,1.1016843418590143,473351.0,28410.0,25866.0,0.0
1.7,0.3897404718198152,0.5447941888619855,0.2540937323546019,1.0,1.1124371859296482,499915.0,26564.0,27459.0,0.0
1.8,0.4100562187075848,0.5593008739076155,0.2505592841163311,1.0,1.1003076923076922,526543.0,26628.0,29083.0,0.0
1.9,0.4076424812382548,0.57125,0.25819209039548024,1.0,1.1021170610211706,553932.0,27389.0,30689.0,0.0
2.0,0.40530626968268574,0.5687732342007435,0.25585284280936454,0.9978260869565218,1.0999386879215205,580010.0,26078.0,32320.0,0.0
2.1,0.41224703491320136,0.5858585858585859,0.26126126126126126,1.0,1.107922645040549,608740.0,28730.0,33923.0,0.0
2.2,0.40636695748995255,0.5755305867665418,0.26074660633484165,1.0,1.087330873308733,637517.0,28777.0,35549.0,0.0
2.3,0.41065906673620495,0.5802005012531328,0.26025857223159077,1.0,1.1077210460772104,667247.0,29730.0,37155.0,0.0
2.4,0.40495830954203266,0.5664596273291925,0.25617977528089886,1.0,1.0953846153846154,694472.0,27225.0,38780.0,0.0
2.5,0.4122334395521496,0.5879396984924623,0.26218487394957984,1.0,1.1093847110006214,723884.0,29412.0,40389.0,0.0
2.6,0.40642641446552896,0.5811648079306072,0.26647727272727273,1.0,1.099312929419113,752566.0,28682.0,41990.0,0.0
2.7,0.40384623150889065,0.5682656826568265,0.25567238516878804,1.0,1.1072303921568627,780274.0,27708.0,43622.0,0.0
2.8,0.405554474076958,0.5619524405506884,0.25701202060675443,1.0,1.0898315658140985,808109.0,27835.0,45225.0,0.0
2.9,0.4119057230181156,0.5921717171717171,0.26128133704735373,1.0,1.1059765865680837,838384.0,30275.0,46848.0,0.0
3.0,0.40915525805422126,0.5864661654135338,0.2613065326633166,1.0,1.1158878504672898,866398.0,28014.0,48453.0,0.0
3.1,0.4099788860873665,0.5994993742177722,0.27092760180995473,1.0,1.0906847624922886,896682.0,30284.0,50074.0,0.0
3.2,0.41312583399777736,0.5886075949367089,0.2607964105440269,1.0,1.11367895065584,926505.0,29823.0,51675.0,0.0
3.3,0.4087271419345873,0.57875,0.26172979084228376,1.0,1.1021806853582554,954664.0,28159.0,53280.0,0.0
3.4,0.4102766084894436,0.5794743429286608,0.26099210822998875,1.0,1.093711467324291,984161.0,29497.0,54902.0,0.0
3.5,0.4084233226054141,0.5642317380352645,0.2545454545454545,1.0,1.099312929419113,1012986.0,28825.0,56503.0,0.0
3.6,0.40596442939669625,0.556930693069307,0.2515371716042482,1.0,1.1002460024600247,1040271.0,27285.0,58129.0,0.0
3.7,0.3936248518986495,0.5498154981549815,0.25254237288135595,1.0,1.114609571788413,1067292.0,27021.0,59717.0,0.0
3.8,0.4095054402797741,0.5725,0.2586109542631282,1.0,1.0925354719309068,1093924.0,26632.0,61338.0,0.0
3.9,0.4042053524872776,0.568039950062422,0.2541899441340782,1.0,1.1118012422360248,1123179.0,29255.0,62948.0,0.0
4.0,0.40782202646764953,0.5725,0.2611174458380844,1.0,1.0928348909657322,1151293.0,28114.0,64553.0,0.0
