x,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,window_cycles_saved_vs_stride,total_eligible_callbacks,total_completed_updates
1.0,0.35733811689959155,0.0,0.0,nan,0.21475764124729854,-15413.0,-15413.0,16196.0,9.0
2.0,0.36396962746252753,0.0,0.0,nan,0.21147286821705427,-35663.0,-20250.0,32320.0,19.0
3.0,0.3633591536347906,0.0,0.0,nan,0.21149197297464822,-52264.0,-16601.0,48453.0,29.0
4.0,0.36267428766236476,0.0017491254372813594,0.002685593708037598,1.0,0.3237888198757764,-68271.0,-16007.0,64553.0,40.0
5.0,0.3627551982819914,0.0032322227747389356,0.004919583727530747,1.0,0.32667820496971195,-82647.0,-14376.0,80731.0,50.0
6.0,0.36032685970097195,0.003337866238101125,0.008893280632411068,1.0,0.18827906976744185,-100947.0,-18300.0,96857.0,60.0
7.0,0.363908832103746,0.0012360939431396785,0.0035248501938667607,1.0,0.17533992583436342,-119749.0,-18802.0,113036.0,70.0
8.0,0.36462961470682503,0.0029936385181489333,0.007100591715976331,1.0,0.20953443679871056,-134560.0,-14811.0,129167.0,81.0
9.0,0.3610696181941536,0.0029669922116454446,0.006597031335898846,1.0,0.2251098323123569,-157005.0,-22445.0,145328.0,90.0
10.0,0.36425811913134637,0.0026093439363817097,0.005511811023622047,1.0,0.23594253158285855,-173203.0,-16198.0,161476.0,100.0
11.0,0.3639946667501428,0.002869977539306214,0.007273877292852625,1.0,0.1959472020821714,-189943.0,-16740.0,177613.0,110.0
12.0,0.34860951864346273,0.0027774563129267446,0.006012024048096192,1.0,0.24277808185854163,-229315.0,-39372.0,194056.0,121.0
13.0,0.34285416492382464,0.0020545599817372445,0.004468718967229395,0.9473684210526315,0.24446197730169328,-264104.0,-34789.0,210533.0,131.0
14.0,0.34092168176665616,0.0033116237995363725,0.007653061224489796,1.0,0.23789294817332202,-288960.0,-24856.0,227011.0,142.0
15.0,0.36293451427385154,0.002485089463220676,0.0054466230936819175,1.0,0.22813121272365805,-308564.0,-19604.0,243107.0,152.0
16.0,0.3638904253151291,0.003986048829098156,0.008888888888888889,1.0,0.22344981689528892,-320669.0,-12105.0,259218.0,162.0
17.0,0.36270085920206535,0.002488181139586962,0.005449591280653951,1.0,0.22738537794299876,-334997.0,-14328.0,275358.0,173.0
18.0,0.3633846371876936,0.003479990057171265,0.007530930607853685,1.0,0.23061654881528346,-352247.0,-17250.0,291480.0,183.0
19.0,0.3630868481955673,0.004000500062507814,0.008733624454148471,1.0,0.22756350537233713,-366566.0,-14319.0,307581.0,193.0
20.0,0.3637719513636901,0.002742800149607281,0.0058918050348152114,1.0,0.23165208759848627,-383798.0,-17232.0,323700.0,204.0
21.0,0.3639049916847709,0.00199352105656616,0.004369197160021846,1.0,0.22719940439260455,-400476.0,-16678.0,339818.0,214.0
22.0,0.3620049717762824,0.0026125901965663102,0.005520504731861199,0.9545454545454546,0.2365083312608804,-418525.0,-18049.0,355902.0,225.0
23.0,0.36443228374406067,0.0028589185829707895,0.006212857914640735,1.0,0.229481775353335,-436001.0,-17476.0,372034.0,234.0
24.0,0.3669860791170608,0.0023670113367385073,0.005124056094929882,1.0,0.22988220706757595,-449116.0,-13115.0,388164.0,244.0
25.0,0.41526669880830913,0.0017543859649122807,0.00411764705882353,1.0,0.211088346681567,-463492.0,-14376.0,404271.0,253.0
