x,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,window_cycles_saved_vs_stride,total_eligible_callbacks,total_completed_updates
0.1,0.3050193992337913,0.14122681883024252,0.42950108459869846,1.0,0.27787823990355637,0.0,0.0,1659.0,0.0
0.2,0.36781879774747767,0.17103620474406991,0.30444444444444446,1.0,0.28002489110143125,0.0,0.0,3266.0,0.0
0.3,0.37354690254908407,0.1761006289308176,0.2845528455284553,1.0,0.3061605476042315,0.0,0.0,4873.0,0.0
0.4,0.36533817528194973,0.17625,0.32790697674418606,1.0,0.2649414664202095,0.0,0.0,6496.0,0.0
0.5,0.3677051886879176,0.17632241813602015,0.30434782608695654,1.0,0.286783042394015,0.0,0.0,8100.0,0.0
0.6,0.36340774712635326,0.16978776529338327,0.272,1.0,0.3075030750307503,0.0,0.0,9726.0,0.0
0.7,0.3657229794719692,0.17625,0.2781065088757396,1.0,0.3151025481665631,0.0,0.0,11335.0,0.0
0.8,0.3610342910369627,0.17288557213930347,0.2926315789473684,1.0,0.2917690417690418,0.0,0.0,12963.0,0.0
0.9,0.37292560134253216,0.17780580075662042,0.26159554730983303,1.0,0.33708567854909316,0.0,0.0,14563.0,0.0
1.0,0.3620302657302151,0.17142857142857143,0.2822085889570552,1.0,0.2994488671157379,0.0,0.0,16196.0,0.0
1.1,0.3681519142058779,0.17906683480453972,0.2644320297951583,1.0,0.3354153653966271,0.0,0.0,17796.0,0.0
1.2,0.37024969639524896,0.17647058823529413,0.3211845102505695,1.0,0.27300995024875624,0.0,0.0,19404.0,0.0
1.3,0.3672635924255557,0.17331670822942644,0.3357487922705314,1.0,0.25461254612546125,0.0,0.0,21030.0,0.0
1.4,0.3714834448402807,0.17314930991217065,0.26848249027237353,1.0,0.32004981320049813,0.0,0.0,22636.0,0.0
1.5,0.3667033370003667,0.1760299625468165,0.3248847926267281,1.0,0.2667486170866626,0.0,0.0,24263.0,0.0
1.6,0.36738637657838374,0.1759493670886076,0.28778467908902694,1.0,0.30131004366812225,0.0,0.0,25866.0,0.0
1.7,0.3531759345918169,0.18280871670702178,0.3013972055888224,1.0,0.3146984924623116,0.0,0.0,27459.0,0.0
1.8,0.36968986717043073,0.17228464419475656,0.2857142857142857,1.0,0.29723076923076924,0.0,0.0,29083.0,0.0
1.9,0.36670064759334364,0.17375,0.2730844793713163,1.0,0.31693648816936487,0.0,0.0,30689.0,0.0
2.0,0.36656219644068105,0.1771995043370508,0.2693032015065913,1.0,0.325567136725935,0.0,0.0,32320.0,0.0
2.1,0.36859157473378473,0.17929292929292928,0.2939958592132505,1.0,0.30131004366812225,0.0,0.0,33923.0,0.0
2.2,0.3638215818962381,0.16853932584269662,0.33251231527093594,1.0,0.24969249692496925,0.0,0.0,35549.0,0.0
2.3,0.3659772874495409,0.17418546365914786,0.2871900826446281,1.0,0.3013698630136986,0.0,0.0,37155.0,0.0
2.4,0.3647451890109569,0.1701863354037267,0.29148936170212764,1.0,0.28923076923076924,0.0,0.0,38780.0,0.0
2.5,0.3676565205722206,0.16959798994974876,0.29933481152993346,1.0,0.2802983219390926,0.0,0.0,40389.0,0.0
2.6,0.36399506422692907,0.16852540272614622,0.30699774266365687,0.9927007299270073,0.2767020612117427,0.0,0.0,41990.0,0.0
2.7,0.3632044804904713,0.16728167281672818,0.3300970873786408,1.0,0.25245098039215685,0.0,0.0,43622.0,0.0
2.8,0.3644168783321368,0.17521902377972465,0.275049115913556,1.0,0.3175296319401123,0.0,0.0,45225.0,0.0
2.9,0.36623463187925975,0.1755050505050505,0.2836734693877551,1.0,0.30191004313000613,0.0,0.0,46848.0,0.0
3.0,0.36708024374128184,0.17543859649122806,0.2874743326488706,1.0,0.3034267912772586,0.0,0.0,48453.0,0.0
3.1,0.3646986312860368,0.17772215269086358,0.3294663573085847,1.0,0.26588525601480567,0.0,0.0,50074.0,0.0
3.2,0.36780932764454904,0.17721518987341772,0.27079303675048355,1.0,0.32292317301686446,0.0,0.0,51675.0,0.0
3.3,0.3665406988464964,0.17875,0.27552986512524086,1.0,0.3233644859813084,0.0,0.0,53280.0,0.0
3.4,0.3659853239885081,0.1739674593241552,0.28600823045267487,1.0,0.2996300863131936,0.0,0.0,54902.0,0.0
3.5,0.3654049234659388,0.17506297229219145,0.27634194831013914,1.0,0.3141786383510306,0.0,0.0,56503.0,0.0
3.6,0.3654810461529465,0.1670792079207921,0.28421052631578947,1.0,0.2921279212792128,0.0,0.0,58129.0,0.0
3.7,0.3557832568399331,0.16728167281672818,0.27309236947791166,1.0,0.3136020151133501,0.0,0.0,59717.0,0.0
3.8,0.3692366770176015,0.1725,0.2905263157894737,1.0,0.29302899444787167,0.0,0.0,61338.0,0.0
3.9,0.3614623320103812,0.17103620474406991,0.2778904665314402,1.0,0.3062111801242236,0.0,0.0,62948.0,0.0
4.0,0.3658728445516045,0.1725,0.28105906313645623,1.0,0.3059190031152648,0.0,0.0,64553.0,0.0
