x,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,window_cycles_saved_vs_stride,total_eligible_callbacks,total_completed_updates
0.1,0.30173558307384074,0.0,0.0,NA,0.24834237492465341,-3568.0,-3568.0,1659.0,0.0
0.2,0.36648562276901875,0.0,0.0,NA,0.21157436216552583,-4557.0,-989.0,3266.0,0.0
0.3,0.3716781267422412,0.0,0.0,NA,0.20784069695084006,-5903.0,-1346.0,4873.0,1.0
0.4,0.3637951105937136,0.0,0.0,NA,0.21072088724584104,-7064.0,-1161.0,6496.0,2.0
0.5,0.3657604342307875,0.0,0.0,NA,0.21134663341645885,-8510.0,-1446.0,8100.0,3.0
0.6,0.36230046301999175,0.0,0.0,NA,0.2109471094710947,-9351.0,-841.0,9726.0,5.0
0.7,0.36359405451002064,0.0,0.0,NA,0.21255438160348042,-10952.0,-1601.0,11335.0,6.0
0.8,0.3592625059278313,0.0,0.0,NA,0.21253071253071254,-12318.0,-1366.0,12963.0,7.0
0.9,0.37052956084836447,0.0,0.0,NA,0.20950594121325827,-14052.0,-1734.0,14563.0,8.0
1.0,0.3602552047870712,0.0,0.0,NA,0.2112676056338028,-15413.0,-1361.0,16196.0,9.0
1.1,0.36510608157200075,0.0,0.0,NA,0.212367270455965,-17679.0,-2266.0,17796.0,10.0
1.2,0.368298351128282,0.0,0.0,NA,0.2095771144278607,-19110.0,-1431.0,19404.0,11.0
1.3,0.3651114137479052,0.0,0.0,NA,0.2091020910209102,-20715.0,-1605.0,21030.0,12.0
1.4,0.3693239525049397,0.0,0.0,NA,0.20983810709838108,-22289.0,-1574.0,22636.0,13.0
1.5,0.3639751914509507,0.0,0.0,NA,0.20897357098955133,-24333.0,-2044.0,24263.0,14.0
1.6,0.3649528480920265,0.0,0.0,NA,0.21210230817217718,-26148.0,-1815.0,25866.0,15.0
1.7,0.34745265089,0.0,0.0,NA,0.2242462311557789,-30812.0,-4664.0,27459.0,16.0
1.8,0.36719346689383703,0.0,0.0,NA,0.208,-32651.0,-1839.0,29083.0,17.0
1.9,0.3649262119199498,0.0,0.0,NA,0.21170610211706103,-33977.0,-1326.0,30689.0,18.0
2.0,0.3643106695665796,0.0,0.0,NA,0.20907418761496016,-35663.0,-1686.0,32320.0,19.0
2.1,0.3668190188324884,0.0,0.0,NA,0.21085464753587024,-36974.0,-1311.0,33923.0,20.0
2.2,0.36135914401245967,0.0,0.0,NA,0.2109471094710947,-38847.0,-1873.0,35549.0,21.0
2.3,0.3638838046235076,0.0,0.0,NA,0.21232876712328766,-40419.0,-1572.0,37155.0,22.0
2.4,0.36199357099417917,0.0,0.0,NA,0.21107692307692308,-42503.0,-2084.0,38780.0,24.0
2.5,0.36647890730648996,0.0,0.0,NA,0.21068986948415164,-43377.0,-874.0,40389.0,24.0
2.6,0.3608961773876891,0.0,0.0,NA,0.21424109931292942,-45736.0,-2359.0,41990.0,25.0
2.7,0.3614832380222529,0.0,0.0,NA,0.21017156862745098,-47047.0,-1311.0,43622.0,26.0
2.8,0.36193199297851936,0.0,0.0,NA,0.2133499688084841,-48931.0,-1884.0,45225.0,27.0
2.9,0.3637157197934095,0.0,0.0,NA,0.21010474430067777,-50822.0,-1891.0,46848.0,28.0
3.0,0.3651474100094208,0.0,0.0,NA,0.21121495327102804,-52264.0,-1442.0,48453.0,29.0
3.1,0.3628605019086462,0.0,0.0,NA,0.21098087600246762,-53653.0,-1389.0,50074.0,30.0
3.2,0.36520208457349873,0.0,0.0,NA,0.23735165521549031,-55594.0,-1941.0,51675.0,32.0
3.3,0.36370249136206584,0.00125,0.0019305019305019305,1.0,0.32274143302180686,-57723.0,-2129.0,53280.0,33.0
3.4,0.3641833007389279,0.0012515644555694619,0.0017921146953405018,1.0,0.344019728729963,-59075.0,-1352.0,54902.0,34.0
3.5,0.36247512514453695,0.0025188916876574307,0.0035335689045936395,1.0,0.35352904434728294,-61287.0,-2212.0,56503.0,35.0
3.6,0.36402156463748914,0.0024752475247524753,0.003552397868561279,1.0,0.3462484624846248,-62384.0,-1097.0,58129.0,36.0
3.7,0.353544281421248,0.0012300123001230013,0.0017152658662092624,1.0,0.36712846347607053,-64164.0,-1780.0,59717.0,37.0
3.8,0.36804622660606173,0.005,0.0071301247771836,1.0,0.34608266502159163,-65040.0,-876.0,61338.0,38.0
3.9,0.35881647972328073,0.0024968789013732834,0.003472222222222222,1.0,0.3579863269111249,-67080.0,-2040.0,62948.0,39.0
4.0,0.3642854540818185,0.00125,0.0017667844522968198,1.0,0.35242839352428396,-68271.0,-1191.0,64553.0,40.0
