x,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,window_cycles_saved_vs_stride,total_eligible_callbacks,total_completed_updates
0.1,0.3084363510745923,0.07275320970042796,0.07646176911544228,0.9622641509433962,1.1844484629294756,3632.0,3632.0,1659.0,25.0
0.2,0.43819481264980786,0.9675405742821473,0.2752130681818182,0.9897828863346104,1.9987562189054726,47296.0,43664.0,3267.0,51.0
0.3,0.42018748765699254,0.6654088050314465,0.24929311969839774,1.0,1.321917808219178,77011.0,29715.0,4873.0,76.0
0.4,0.41078558635534596,0.5975,0.25078698845750264,1.0,1.1743684534812076,107294.0,30283.0,6496.0,101.0
0.5,0.4122776277545299,0.5969773299748111,0.24842767295597484,1.0,1.1895261845386533,136696.0,29402.0,8100.0,126.0
0.6,0.4086469698827183,0.5905118601747815,0.24635416666666668,1.0,1.1808118081180812,167159.0,30463.0,9726.0,151.0
0.7,0.398017871002408,0.44875,0.23525557011795545,1.0,0.9484151646985706,189345.0,22186.0,11335.0,177.0
0.8,0.4047190238177146,0.6057213930348259,0.24645748987854252,0.9938775510204082,1.2137592137592137,219242.0,29897.0,12963.0,202.0
0.9,0.4175347910864673,0.617906683480454,0.34507042253521125,1.0,0.8880550343964978,247891.0,28649.0,14563.0,227.0
1.0,0.40643632565304155,0.5875776397515527,0.2460978147762747,1.0,1.1769748928352726,278070.0,30179.0,16196.0,253.0
1.1,0.41302857331670206,0.5952080706179067,0.2435500515995872,1.0,1.2104934415990005,307583.0,29513.0,17796.0,278.0
1.2,0.4135957184571225,0.590738423028786,0.24660397074190177,1.0,1.1902985074626866,335889.0,28306.0,19404.0,303.0
1.3,0.40832659594450027,0.5847880299251871,0.24401664932362122,1.0,1.1820418204182042,363271.0,27382.0,21030.0,328.0
1.4,0.41384048104817517,0.589711417816813,0.2437759336099585,1.0,1.2004981320049812,390823.0,27552.0,22636.0,353.0
1.5,0.40924735319274325,0.5892634207240949,0.29389788293897884,1.0,0.9870928088506453,419172.0,28349.0,24263.0,379.0
1.6,0.4147690980431194,0.6303797468354431,0.25382262996941896,1.0,1.223955084217093,450267.0,31095.0,25866.0,404.0
1.7,0.3811745512622595,0.5411622276029056,0.23232848232848233,0.9977678571428571,1.2085427135678393,471065.0,20798.0,27459.0,429.0
1.8,0.4110456178426682,0.5842696629213483,0.24273858921161826,1.0,1.1864615384615385,498280.0,27215.0,29083.0,454.0
1.9,0.40864529996608245,0.58875,0.24378881987577639,1.0,1.2029887920298878,526271.0,27991.0,30689.0,479.0
2.0,0.40636695748995255,0.5824039653035935,0.24352331606217617,1.0,1.1833231146535867,552993.0,26722.0,32320.0,505.0
2.1,0.41328462085268886,0.601010101010101,0.24804585721730069,1.0,1.1971303805364941,582332.0,29339.0,33923.0,530.0
2.2,0.40796011781888203,0.5867665418227216,0.24352331606217617,1.0,1.186961869618696,612070.0,29738.0,35549.0,555.0
2.3,0.4115819150906509,0.5927318295739349,0.244824016563147,1.0,1.2029887920298878,642346.0,30276.0,37155.0,580.0
2.4,0.4063388866314506,0.5826086956521739,0.2607003891050584,1.0,1.107076923076923,670410.0,28064.0,38780.0,605.0
2.5,0.41159716162597343,0.585427135678392,0.24270833333333333,1.0,1.1932877563704165,699447.0,29037.0,40389.0,631.0
2.6,0.4050813403331389,0.5811648079306072,0.3073394495412844,1.0,0.9531542785758901,727312.0,27865.0,41990.0,656.0
2.7,0.4042478362634564,0.5793357933579336,0.3620292083013067,1.0,0.7971813725490197,755266.0,27954.0,43622.0,681.0
2.8,0.4085284397073302,0.5944931163954944,0.2650669642857143,1.0,1.1179039301310043,784896.0,29630.0,45225.0,706.0
2.9,0.4125923175310476,0.5959595959595959,0.2789598108747045,1.0,1.0425138632162663,815575.0,30679.0,46848.0,732.0
3.0,0.4100024190142722,0.5902255639097744,0.24303405572755418,1.0,1.2074766355140187,844094.0,28519.0,48453.0,757.0
3.1,0.40932776101808,0.5957446808510638,0.27262313860252,1.0,1.0771128932757557,873990.0,29896.0,50074.0,782.0
3.2,0.414066673015689,0.6,0.26450892857142855,1.0,1.1193004372267332,904363.0,30373.0,51675.0,807.0
3.3,0.40983774523666083,0.59375,0.24309109518935518,0.9978991596638656,1.2174454828660437,933185.0,28822.0,53280.0,832.0
3.4,0.4117717302236332,0.5944931163954944,0.26595744680851063,1.0,1.1011097410604191,963567.0,30382.0,54902.0,857.0
3.5,0.4121943578836293,0.6007556675062973,0.2481789802289282,1.0,1.2004996876951906,994632.0,31065.0,56503.0,882.0
3.6,0.4080466805402538,0.5866336633663366,0.2415902140672783,1.0,1.2066420664206643,1023174.0,28542.0,58129.0,908.0
3.7,0.3960835260939827,0.5781057810578106,0.278436018957346,1.0,1.0629722921914357,1051772.0,28598.0,59717.0,933.0
3.8,0.4127319553589117,0.59375,0.2489517819706499,1.0,1.177051202961135,1080313.0,28541.0,61338.0,958.0
3.9,0.4069854991066668,0.5917602996254682,0.27367205542725176,1.0,1.075776397515528,1111258.0,30945.0,62948.0,983.0
4.0,0.40992342630396644,0.59,0.26787741203178206,1.0,1.0978193146417445,1140629.0,29371.0,64553.0,1008.0
