x,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,window_cycles_saved_vs_stride,total_eligible_callbacks,total_completed_updates
0.1,0.3624435947155724,0.5542082738944365,0.40426638917793967,1.0,1.1585292344786016,51943.0,51943.0,1659.0,0.0
0.2,0.40991670492555915,0.5892634207240949,0.245067497403946,1.0,1.1985065339141256,79864.0,27921.0,3266.0,0.0
0.3,0.4157727552428944,0.5962264150943396,0.24559585492227978,1.0,1.2009956440572496,107052.0,27188.0,4873.0,0.0
0.4,0.40953730475308997,0.595,0.2446043165467626,1.0,1.1990141712877387,136593.0,29541.0,6496.0,0.0
0.5,0.4123677330496243,0.5969773299748111,0.2450879007238883,1.0,1.2057356608478802,166048.0,29455.0,8100.0,0.0
0.6,0.4092021376719672,0.5942571785268415,0.24260958205912334,1.0,1.2066420664206643,196843.0,30795.0,9726.0,0.0
0.7,0.410372577262897,0.5925,0.2433264887063655,1.0,1.2106898694841517,226593.0,29750.0,11335.0,0.0
0.8,0.405321054807513,0.585820895522388,0.24055158324821246,1.0,1.2027027027027026,256857.0,30264.0,12963.0,0.0
0.9,0.416690973640129,0.6015132408575031,0.2423780487804878,1.0,1.2307692307692308,285021.0,28164.0,14563.0,0.0
1.0,0.4060798271724256,0.5888198757763975,0.24183673469387756,1.0,1.2002449479485608,314984.0,29963.0,16196.0,0.0
1.1,0.41384390635540086,0.6002522068095839,0.24385245901639344,1.0,1.2192379762648344,344974.0,29990.0,17796.0,0.0
1.2,0.414576510094938,0.5944931163954944,0.2453512396694215,1.0,1.2039800995024876,373852.0,28878.0,19404.0,0.0
1.3,0.4088691904798898,0.5885286783042394,0.24130879345603273,1.0,1.2029520295202951,401559.0,27707.0,21030.0,0.0
1.4,0.41453526451495226,0.5934755332496863,0.24281314168377824,1.0,1.2129514321295143,429516.0,27957.0,22636.0,0.0
1.5,0.4097369898262305,0.5942571785268415,0.241869918699187,1.0,1.2095881991395205,458157.0,28641.0,24263.0,0.0
1.6,0.4137120729457127,0.6025316455696202,0.24612202688728024,1.0,1.206487835308796,488636.0,30479.0,25866.0,0.0
1.7,0.385932006499095,0.5508474576271186,0.2448869752421959,1.0,1.1670854271356783,512668.0,24032.0,27459.0,0.0
1.8,0.4117852951471103,0.5880149812734082,0.24178644763860369,1.0,1.1987692307692308,540320.0,27652.0,29083.0,0.0
1.9,0.40930933143413806,0.59,0.24279835390946503,1.0,1.2104607721046077,568708.0,28388.0,30689.0,0.0
2.0,0.40619364063236224,0.5824039653035935,0.24152106885919836,0.9978768577494692,1.1931330472103003,595325.0,26617.0,32320.0,0.0
2.1,0.41386617223454625,0.6022727272727273,0.2474066390041494,1.0,1.2027448533998752,625004.0,29679.0,33923.0,0.0
2.2,0.40816826328485656,0.5880149812734082,0.2420349434737924,1.0,1.1968019680196802,654867.0,29863.0,35549.0,0.0
2.3,0.41195493213042494,0.5939849624060151,0.2443298969072165,1.0,1.207970112079701,685363.0,30496.0,37155.0,0.0
2.4,0.4063388866314506,0.5826086956521739,0.24075975359342916,1.0,1.1987692307692308,713427.0,28064.0,38780.0,0.0
2.5,0.41183786766825636,0.5866834170854272,0.24196891191709843,1.0,1.199502796768179,742606.0,29179.0,40389.0,0.0
2.6,0.4052290759966609,0.5799256505576208,0.2450261780104712,1.0,1.193004372267333,770561.0,27955.0,41990.0,0.0
2.7,0.4047550624739439,0.5781057810578106,0.23857868020304568,1.0,1.2071078431372548,798825.0,28264.0,43622.0,0.0
2.8,0.4085284397073302,0.5944931163954944,0.24383983572895276,1.0,1.2152214597629445,828455.0,29630.0,45225.0,0.0
2.9,0.4125923175310476,0.5959595959595959,0.24205128205128204,1.0,1.201478743068392,859134.0,30679.0,46848.0,0.0
3.0,0.4096178265678122,0.5902255639097744,0.24303405572755418,1.0,1.2074766355140187,887424.0,28290.0,48453.0,0.0
3.1,0.4099788860873665,0.5994993742177722,0.2466529351184346,1.0,1.1980259099321406,917708.0,30284.0,50074.0,0.0
3.2,0.41427251674696647,0.6,0.2453416149068323,1.0,1.206745783885072,948201.0,30493.0,51675.0,0.0
3.3,0.4096631340049078,0.5925,0.24282786885245902,1.0,1.2161993769470405,976919.0,28718.0,53280.0,0.0
3.4,0.4113651976815457,0.5932415519399249,0.24257932446264074,1.0,1.2046855733662145,1007061.0,30142.0,54902.0,0.0
3.5,0.41224873439638543,0.5994962216624685,0.24663212435233162,1.0,1.2054965646470956,1038158.0,31097.0,56503.0,0.0
3.6,0.4079967360261118,0.5841584158415841,0.24155578300921188,1.0,1.2017220172201721,1066670.0,28512.0,58129.0,0.0
3.7,0.396124319656481,0.5744157441574416,0.24221991701244813,1.0,1.2141057934508817,1095294.0,28624.0,59717.0,0.0
3.8,0.41152094024304425,0.59125,0.24306269270298048,1.0,1.2004935225169648,1123122.0,27828.0,61338.0,0.0
3.9,0.40622499177394394,0.5905118601747815,0.2413265306122449,1.0,1.2173913043478262,1153607.0,30485.0,62948.0,0.0
4.0,0.4092038121427139,0.58875,0.24153846153846154,1.0,1.2149532710280373,1182549.0,28942.0,64553.0,0.0
