x,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,window_cycles_saved_vs_stride,total_eligible_callbacks,total_completed_updates
1.0,0.35733811689959155,0.0,nan,nan,0.0,-15413.0,-15413.0,16196.0,0.0
2.0,0.36396962746252753,0.0,nan,nan,0.0,-35663.0,-20250.0,32320.0,0.0
3.0,0.3633591536347906,0.0,nan,nan,0.0,-52264.0,-16601.0,48453.0,0.0
4.0,0.3624551552359184,0.0,nan,nan,0.0,-69938.0,-17674.0,64553.0,0.0
5.0,0.362618920875101,0.0,nan,nan,0.0,-85350.0,-15412.0,80731.0,0.0
6.0,0.3601241708140967,0.0,nan,nan,0.0,-105212.0,-19862.0,96857.0,0.0
7.0,0.36394088289874543,0.0,nan,nan,0.0,-123772.0,-18560.0,113036.0,0.0
8.0,0.3644425104695222,0.0,nan,nan,0.0,-139991.0,-16219.0,129167.0,0.0
9.0,0.361204733371308,0.0,nan,nan,0.0,-161400.0,-21409.0,145328.0,0.0
10.0,0.3642639573199207,0.0,nan,nan,0.0,-177554.0,-16154.0,161476.0,0.0
11.0,0.36381191942439134,0.0,nan,nan,0.0,-195674.0,-18120.0,177613.0,0.0
12.0,0.3499230694131895,0.0,nan,nan,0.0,-224278.0,-28604.0,194056.0,0.0
13.0,0.3434376112952509,0.0,nan,nan,0.0,-254112.0,-29834.0,210533.0,0.0
14.0,0.341016317289766,0.0,nan,nan,0.0,-278154.0,-24042.0,227011.0,0.0
15.0,0.36306720628135314,0.0,nan,nan,0.0,-296751.0,-18597.0,243107.0,0.0
16.0,0.36344486123493475,0.0,nan,nan,0.0,-312225.0,-15474.0,259218.0,0.0
17.0,0.36257408748260095,0.0,nan,nan,0.0,-327517.0,-15292.0,275358.0,0.0
18.0,0.36339982338768584,0.0,nan,nan,0.0,-344652.0,-17135.0,291480.0,0.0
19.0,0.3628429909438018,0.0,nan,nan,0.0,-360822.0,-16170.0,307581.0,0.0
20.0,0.36387321201800443,0.0,nan,nan,0.0,-377289.0,-16467.0,323700.0,0.0
21.0,0.36388473150583145,0.0,nan,nan,0.0,-394120.0,-16831.0,339818.0,0.0
22.0,0.36187737640349615,0.0,nan,nan,0.0,-413143.0,-19023.0,355902.0,0.0
23.0,0.36445951201058097,0.0,nan,nan,0.0,-430414.0,-17271.0,372034.0,0.0
24.0,0.3666830329527041,0.0,nan,nan,0.0,-445781.0,-15367.0,388164.0,0.0
25.0,0.4142992914653517,0.0,nan,nan,0.0,-465780.0,-19999.0,404271.0,0.0
