x,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,window_cycles_saved_vs_stride,total_eligible_callbacks,total_completed_updates
1.0,0.35733811689959155,0.0,0.0,nan,0.39160234640321084,-15413.0,-15413.0,16196.0,17.0
2.0,0.3639586324618344,0.00037425149700598805,0.00042022692253817064,1.0,0.4427286821705426,-35746.0,-20333.0,32320.0,34.0
3.0,0.3634770945821922,0.003999500062492188,0.006211180124223602,1.0,0.3193454410215087,-51454.0,-15708.0,48453.0,52.0
4.0,0.3629014551985452,0.005122438780609695,0.011069114470842332,1.0,0.23006211180124223,-65735.0,-14281.0,64553.0,70.0
5.0,0.36320527199716407,0.007707608155146694,0.010420168067226891,1.0,0.3677834095685499,-76695.0,-10960.0,80731.0,87.0
6.0,0.3606553829619184,0.006799357151687477,0.008368837492391966,1.0,0.4075658914728682,-92467.0,-15772.0,96857.0,105.0
7.0,0.3641585007157535,0.005562422744128554,0.0069124423963133645,1.0,0.40234857849196537,-109385.0,-16918.0,113036.0,123.0
8.0,0.36497229495309014,0.005862542098041662,0.007219662058371736,1.0,0.40357076436674727,-121621.0,-12236.0,129167.0,141.0
9.0,0.3614313694237013,0.00667573247620225,0.008284749923289352,1.0,0.4033166264463833,-141294.0,-19673.0,145328.0,157.0
10.0,0.3646431765963258,0.0068339960238568585,0.007994186046511628,1.0,0.4260589546693089,-154593.0,-13299.0,161476.0,175.0
11.0,0.3641526659070442,0.0079860244571999,0.009615384615384616,1.0,0.4124682406890996,-170141.0,-15548.0,177613.0,193.0
12.0,0.3488344916382628,0.007406550167804653,0.008861811132650235,1.0,0.43921425530620933,-207663.0,-37522.0,194056.0,211.0
13.0,0.3433152234552961,0.0059353955027964846,0.007317759639741064,1.0,0.4312678278812891,-238535.0,-30872.0,210533.0,229.0
14.0,0.3409670165556535,0.006623247599072745,0.008274720728175424,0.9836065573770492,0.4400412671440709,-263001.0,-24466.0,227011.0,248.0
15.0,0.363512637153318,0.007828031809145129,0.009178321678321678,1.0,0.426441351888668,-278223.0,-15222.0,243107.0,266.0
16.0,0.36408783254872407,0.008221225710014948,0.00990693485439808,1.0,0.41350630004344857,-288838.0,-10615.0,259218.0,284.0
17.0,0.3631104476679776,0.00721572530480219,0.0086463923673226,1.0,0.41561338289962824,-300056.0,-11218.0,275358.0,302.0
18.0,0.36345622151639023,0.005965697240865026,0.007168458781362007,1.0,0.41533308522515816,-316764.0,-16708.0,291480.0,320.0
19.0,0.36336522711053426,0.006875859482435304,0.008233532934131737,1.0,0.4148810632879945,-328973.0,-12209.0,307581.0,337.0
20.0,0.36402368483703024,0.006857000374018202,0.008138502515537141,1.0,0.4192567777157392,-344304.0,-15331.0,323700.0,354.0
21.0,0.36438700085813136,0.00672813356591079,0.008130081300813009,1.0,0.41208586673284525,-357347.0,-13043.0,339818.0,372.0
22.0,0.3625772425493096,0.007962179646678278,0.00944231336677486,1.0,0.42141258393434466,-371036.0,-13689.0,355902.0,390.0
23.0,0.3644812975534193,0.006463642013673089,0.007690032534753032,1.0,0.41916687329531366,-388143.0,-17107.0,372034.0,408.0
24.0,0.36681309845557014,0.005979818113865703,0.007096392667060911,1.0,0.41934283942963424,-402543.0,-14400.0,388164.0,425.0
25.0,0.4133257887599358,0.005889724310776942,0.007561132561132561,1.0,0.3859191655801825,-428227.0,-25684.0,404271.0,440.0
