run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,eligible_callbacks,pf_requested,pf_filled,pf_dropped,input_drops,pf_useful,admitted_decisions,l2_load_miss,output_drops,state_evictions,pf_issued,numerical_failures,decoder_limit_drops,l2_loads,instructions,pf_useless,pq_merged_duplicate_proxy,cycles,pf_late,completed_decisions,window,start_instructions,end_instructions,cumulative_cycles,ipc,l2_mpki,l2_load_miss_rate,useful_prefetch_coverage,miss_reduction,raw_accuracy,selected_accuracy,legacy_timeliness,request_pressure,window_cycles_saved_vs_stride,cumulative_cycles_saved_vs_stride,total_eligible_callbacks,total_admitted_decisions,total_completed_decisions,total_state_evictions,total_input_drops,total_output_drops,total_decoder_limit_drops,total_numerical_failures
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1600.0,1952.0,479.0,0.0,0.0,476.0,1600.0,317.0,0.0,0.0,1952.0,0.0,0.0,1601.0,100000.0,7.0,0.0,241637.0,0.0,1600.0,11,1000000.0,1100000.0,2709710.0,0.41384390635540086,3.17,0.19800124921923798,0.6002522068095839,0.6002522068095839,0.24385245901639344,0.24385245901639344,1.0,1.2192379762648344,29990.0,344974.0,17796.0,17796.0,17796.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1608.0,1936.0,481.0,0.0,0.0,475.0,1608.0,324.0,0.0,0.0,1936.0,0.0,0.0,1608.0,100000.0,6.0,0.0,241210.0,0.0,1608.0,12,1100000.0,1200000.0,2950920.0,0.414576510094938,3.24,0.20149253731343283,0.5944931163954944,0.5944931163954944,0.2453512396694215,0.2453512396694215,1.0,1.2039800995024876,28878.0,373852.0,19404.0,19404.0,19404.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1626.0,1956.0,481.0,0.0,0.0,472.0,1626.0,330.0,0.0,0.0,1956.0,0.0,0.0,1626.0,100000.0,5.0,0.0,244577.0,0.0,1626.0,13,1200000.0,1300000.0,3195497.0,0.4088691904798898,3.3,0.2029520295202952,0.5885286783042394,0.5885286783042394,0.24130879345603273,0.24130879345603273,1.0,1.2029520295202951,27707.0,401559.0,21030.0,21030.0,21030.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1606.0,1948.0,480.0,0.0,0.0,473.0,1606.0,324.0,0.0,0.0,1948.0,0.0,0.0,1606.0,100000.0,5.0,0.0,241234.0,0.0,1606.0,14,1300000.0,1400000.0,3436731.0,0.41453526451495226,3.24,0.20174346201743462,0.5934755332496863,0.5934755332496863,0.24281314168377824,0.24281314168377824,1.0,1.2129514321295143,27957.0,429516.0,22636.0,22636.0,22636.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1627.0,1968.0,481.0,0.0,0.0,476.0,1627.0,325.0,0.0,0.0,1968.0,0.0,0.0,1627.0,100000.0,3.0,0.0,244059.0,0.0,1627.0,15,1400000.0,1500000.0,3680790.0,0.4097369898262305,3.25,0.1997541487400123,0.5942571785268415,0.5942571785268415,0.241869918699187,0.241869918699187,1.0,1.2095881991395205,28641.0,458157.0,24263.0,24263.0,24263.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1603.0,1934.0,478.0,0.0,0.0,476.0,1603.0,314.0,0.0,0.0,1934.0,0.0,0.0,1603.0,100000.0,7.0,0.0,241714.0,0.0,1603.0,16,1500000.0,1600000.0,3922504.0,0.4137120729457127,3.14,0.19588271990018716,0.6025316455696202,0.6025316455696202,0.24612202688728024,0.24612202688728024,1.0,1.206487835308796,30479.0,488636.0,25866.0,25866.0,25866.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1593.0,1858.0,466.0,0.0,0.0,455.0,1593.0,371.0,0.0,0.0,1858.0,0.0,0.0,1592.0,100000.0,9.0,0.0,259113.0,0.0,1593.0,17,1600000.0,1700000.0,4181617.0,0.385932006499095,3.71,0.23304020100502512,0.5508474576271186,0.5508474576271186,0.2448869752421959,0.2448869752421959,1.0,1.1670854271356783,24032.0,512668.0,27459.0,27459.0,27459.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1624.0,1948.0,482.0,0.0,0.0,471.0,1624.0,330.0,0.0,0.0,1948.0,0.0,0.0,1625.0,100000.0,9.0,0.0,242845.0,0.0,1624.0,18,1700000.0,1800000.0,4424462.0,0.4117852951471103,3.3,0.20307692307692307,0.5880149812734082,0.5880149812734082,0.24178644763860369,0.24178644763860369,1.0,1.1987692307692308,27652.0,540320.0,29083.0,29083.0,29083.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1606.0,1944.0,480.0,0.0,0.0,472.0,1606.0,328.0,0.0,0.0,1944.0,0.0,0.0,1606.0,100000.0,5.0,0.0,244314.0,0.0,1606.0,19,1800000.0,1900000.0,4668776.0,0.40930933143413806,3.28,0.20423412204234123,0.59,0.59,0.24279835390946503,0.24279835390946503,1.0,1.2104607721046077,28388.0,568708.0,30689.0,30689.0,30689.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1631.0,1946.0,481.0,0.0,0.0,470.0,1631.0,337.0,0.0,0.0,1946.0,0.0,0.0,1631.0,100000.0,3.0,0.0,246188.0,1.0,1631.0,20,1900000.0,2000000.0,4914964.0,0.40619364063236224,3.37,0.20662170447578174,0.5824039653035935,0.5824039653035935,0.24152106885919836,0.24152106885919836,0.9978768577494692,1.1931330472103003,26617.0,595325.0,32320.0,32320.0,32320.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1603.0,1928.0,477.0,0.0,0.0,477.0,1603.0,315.0,0.0,0.0,1928.0,0.0,0.0,1603.0,100000.0,12.0,0.0,241624.0,0.0,1603.0,21,2000000.0,2100000.0,5156588.0,0.41386617223454625,3.15,0.1965065502183406,0.6022727272727273,0.6022727272727273,0.2474066390041494,0.2474066390041494,1.0,1.2027448533998752,29679.0,625004.0,33923.0,33923.0,33923.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1626.0,1946.0,477.0,0.0,0.0,471.0,1626.0,330.0,0.0,0.0,1946.0,0.0,0.0,1626.0,100000.0,9.0,0.0,244997.0,0.0,1626.0,22,2100000.0,2200000.0,5401585.0,0.40816826328485656,3.3,0.2029520295202952,0.5880149812734082,0.5880149812734082,0.2420349434737924,0.2420349434737924,1.0,1.1968019680196802,29863.0,654867.0,35549.0,35549.0,35549.0,0.0,0.0,0.0,0.0,0.0
