run_id,hidden_size,checkpoint,field,old_value,new_value,difference,exact_match
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,ipc,0.40995,0.40995,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,instructions,25000003,25000003,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,cycles,60983624,60983624,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,emitted,0,0,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,callbacks,0,0,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,matched,0,0,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,l2_loads,404219,404219,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,l2_load_miss,84383,84383,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,l2_load_miss_rate,0.20875564978390426,0.20875564978390426,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,pf_requested,433584,433584,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,pf_dropped,0,0,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,pf_issued,433584,433584,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,nodup_issued,433584,433584,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,pf_filled,123123,123123,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,pf_useful,118748,118748,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,pf_useless,4323,4323,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,pf_late,105,105,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,pq_merged_duplicate_proxy,0,0,0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,accuracy,0.2738754197571866,0.2738754197571866,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,nodup_accuracy,0.2738754197571866,0.2738754197571866,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,selected_accuracy,0.2738754197571866,0.2738754197571866,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,useful_per_l2_miss_self,1.4072502755294314,1.4072502755294314,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,timeliness,0.9991165557453324,0.9991165557453324,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,request_per_l2_load,1.0726462635353609,1.0726462635353609,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,merge_per_issued,0.0,0.0,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,late_per_issued,0.00024216760766079928,0.00024216760766079928,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,drop_rate,0.0,0.0,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,fill_per_nodup_issued,0.28396573674305325,0.28396573674305325,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,useless_per_issued,0.009970386361120336,0.009970386361120336,0.0,True
historical_frozen_i20m_h16_s7_state0_mac0,16,i20m,resolved_fill_utility,0.9648739345581006,0.9648739345581006,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,ipc,0.40925,0.40925,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,instructions,25000003,25000003,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,cycles,61086777,61086777,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,emitted,0,0,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,callbacks,0,0,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,matched,0,0,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,l2_loads,404219,404219,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,l2_load_miss,86189,86189,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,l2_load_miss_rate,0.2132235248714187,0.2132235248714187,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,pf_requested,455130,455130,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,pf_dropped,0,0,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,pf_issued,455130,455130,0,True
