run_id,instructions,eligible,admitted,started,completed,state_history_completed,mean_prior,max_prior,zero_prior,mean_wait_cycles,max_wait_cycles,mean_service_cycles,max_service_cycles,mean_completion_cycles,max_completion_cycles,input_drops,input_queue,inference_inflight,deployment_configured_kib,deployment_component_peaks_kib,weight_kib,state_peak_kib,occupancy_lines,capacity_lines,cohort_redundant_cache,cohort_redundant_inflight,cohort_pending,cohort_resident_unused,measurement_overhead,truncated_final_log_record,complete_logged_records
cold_history_h8_i1m,25000000.0,404271.0,404271.0,404271,404271.0,404271,44367.94094308026,118329,92,0.0,0,0.0,0,0.0,0,0.0,0,0,NA,17.515625,7.453125,8.625,4096.0,4096.0,321748,42375,0,45,history counters/timestamps and bounded JSONL excluded; component peaks need not be simultaneous,1,1017
cold_history_h8_i1m_mac16,25000000.0,404271.0,152079.0,152063,152062.0,152062,18065.19279635938,51903,63,7122.134194379961,9031,453.0236416724757,565,7575.1532532782685,9596,252192.0,16,1,16.4140625,15.1484375,7.453125,5.90625,4096.0,4096.0,163529,2,0,16,history counters/timestamps and bounded JSONL excluded; component peaks need not be simultaneous,1,1023
cold_history_h8_i1m_mac4,25000000.0,404271.0,84108.0,84092,84091.0,84091,10148.965858415288,29055,57,13000.782678494981,15495,820.035532934559,972,13820.820111545825,16466,320163.0,16,1,16.4140625,14.5859375,7.453125,5.34375,4096.0,4096.0,90241,4,0,10,history counters/timestamps and bounded JSONL excluded; component peaks need not be simultaneous,1,1020
