run_id,protocol,hidden_size,checkpoint,state_capacity,macs_per_cycle,scale,comparison,quality_status,first_recorded_instructions,start_window_instructions,first_eligible_l2,first_admitted_l2,first_completed_l2,preceding_recorded_instructions,recorded_points,exit_at_instructions,exit_status,last_recorded_instructions,last_eligible_l2,last_admitted_l2,last_completed_l2,sampled_instruction_span,covered_window_instructions,exit_limiting_metrics
cold_frozen_i1m_h8_s7_state0_mac0,cold,8,i1m,0,0,interval_100k,stride,NOT_EXCEEDS,100000.0,0.0,1659.0,1659.0,1659.0,NA,112,11300000.0,NONLOWER_WITH_TIE,11200000.0,180848.0,180848.0,180848.0,11100000.0,11200000.0,legacy_timeliness
cold_frozen_i1m_h8_s7_state0_mac0,cold,8,i1m,0,0,interval_100k,stride,NONLOWER_WITH_TIE,11300000.0,11200000.0,182449.0,182449.0,182449.0,11200000.0,1,11400000.0,NOT_EXCEEDS,11300000.0,182449.0,182449.0,182449.0,0.0,100000.0,selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state0_mac0,cold,8,i1m,0,0,interval_100k,stride,NOT_EXCEEDS,11400000.0,11300000.0,184077.0,184077.0,184077.0,11300000.0,137,NA,NA,25000000.0,404271.0,404271.0,404271.0,13600000.0,13700000.0,
cold_frozen_i1m_h8_s7_state0_mac0,cold,8,i1m,0,0,interval_100k,summer,MISSING_REFERENCE,100000.0,0.0,1659.0,1659.0,1659.0,NA,250,NA,NA,25000000.0,404271.0,404271.0,404271.0,24900000.0,25000000.0,
cold_frozen_i1m_h8_s7_state0_mac0,cold,8,i1m,0,0,interval_100k,stride_and_summer,MISSING_OR_UNDEFINED_REFERENCE,100000.0,0.0,1659.0,1659.0,1659.0,NA,250,NA,NA,25000000.0,404271.0,404271.0,404271.0,24900000.0,25000000.0,
cold_frozen_i1m_h8_s7_state0_mac0,cold,8,i1m,0,0,interval_100k,offline_same_checkpoint,MISSING_REFERENCE,100000.0,0.0,1659.0,1659.0,1659.0,NA,250,NA,NA,25000000.0,404271.0,404271.0,404271.0,24900000.0,25000000.0,
cold_frozen_i1m_h8_s7_state0_mac0,cold,8,i1m,0,0,interval_1m,stride,NOT_EXCEEDS,1000000.0,0.0,16196.0,16196.0,16196.0,NA,25,NA,NA,25000000.0,404271.0,404271.0,404271.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state0_mac0,cold,8,i1m,0,0,interval_1m,summer,MISSING_REFERENCE,1000000.0,0.0,16196.0,16196.0,16196.0,NA,25,NA,NA,25000000.0,404271.0,404271.0,404271.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state0_mac0,cold,8,i1m,0,0,interval_1m,stride_and_summer,MISSING_OR_UNDEFINED_REFERENCE,1000000.0,0.0,16196.0,16196.0,16196.0,NA,25,NA,NA,25000000.0,404271.0,404271.0,404271.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state0_mac0,cold,8,i1m,0,0,interval_1m,offline_same_checkpoint,MISSING_REFERENCE,1000000.0,0.0,16196.0,16196.0,16196.0,NA,25,NA,NA,25000000.0,404271.0,404271.0,404271.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,cumulative,stride,NA,1000.0,0,30.0,30.0,30.0,NA,1,10000.0,NOT_EXCEEDS,1000.0,30.0,30.0,30.0,0.0,NA,selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,cumulative,stride,NOT_EXCEEDS,10000.0,0,172.0,172.0,172.0,1000.0,251,NA,NA,25000000.0,404271.0,404271.0,404271.0,24990000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,cumulative,summer,MISSING_REFERENCE,1000.0,0,30.0,30.0,30.0,NA,252,NA,NA,25000000.0,404271.0,404271.0,404271.0,24999000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,cumulative,stride_and_summer,MISSING_OR_UNDEFINED_REFERENCE,1000.0,0,30.0,30.0,30.0,NA,252,NA,NA,25000000.0,404271.0,404271.0,404271.0,24999000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,cumulative,offline_same_checkpoint,MISSING_REFERENCE,1000.0,0,30.0,30.0,30.0,NA,252,NA,NA,25000000.0,404271.0,404271.0,404271.0,24999000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,interval_100k,stride,NOT_EXCEEDS,100000.0,0.0,1659.0,1659.0,1659.0,NA,112,11300000.0,NONLOWER_WITH_TIE,11200000.0,180848.0,180848.0,180848.0,11100000.0,11200000.0,legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,interval_100k,stride,NONLOWER_WITH_TIE,11300000.0,11200000.0,182449.0,182449.0,182449.0,11200000.0,1,11400000.0,NOT_EXCEEDS,11300000.0,182449.0,182449.0,182449.0,0.0,100000.0,selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,interval_100k,stride,NOT_EXCEEDS,11400000.0,11300000.0,184077.0,184077.0,184077.0,11300000.0,137,NA,NA,25000000.0,404271.0,404271.0,404271.0,13600000.0,13700000.0,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,interval_100k,summer,MISSING_REFERENCE,100000.0,0.0,1659.0,1659.0,1659.0,NA,250,NA,NA,25000000.0,404271.0,404271.0,404271.0,24900000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,interval_100k,stride_and_summer,MISSING_OR_UNDEFINED_REFERENCE,100000.0,0.0,1659.0,1659.0,1659.0,NA,250,NA,NA,25000000.0,404271.0,404271.0,404271.0,24900000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,interval_100k,offline_same_checkpoint,MISSING_REFERENCE,100000.0,0.0,1659.0,1659.0,1659.0,NA,250,NA,NA,25000000.0,404271.0,404271.0,404271.0,24900000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,interval_1m,stride,NOT_EXCEEDS,1000000.0,0.0,16196.0,16196.0,16196.0,NA,25,NA,NA,25000000.0,404271.0,404271.0,404271.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,interval_1m,summer,MISSING_REFERENCE,1000000.0,0.0,16196.0,16196.0,16196.0,NA,25,NA,NA,25000000.0,404271.0,404271.0,404271.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,interval_1m,stride_and_summer,MISSING_OR_UNDEFINED_REFERENCE,1000000.0,0.0,16196.0,16196.0,16196.0,NA,25,NA,NA,25000000.0,404271.0,404271.0,404271.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac0,cold,8,i1m,64,0,interval_1m,offline_same_checkpoint,MISSING_REFERENCE,1000000.0,0.0,16196.0,16196.0,16196.0,NA,25,NA,NA,25000000.0,404271.0,404271.0,404271.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,cumulative,stride,NA,1000.0,0,30.0,30.0,15.0,NA,2,100000.0,NOT_EXCEEDS,10000.0,172.0,95.0,78.0,9000.0,NA,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,cumulative,stride,NOT_EXCEEDS,100000.0,0,1659.0,767.0,751.0,10000.0,250,NA,NA,25000000.0,404271.0,152079.0,152062.0,24900000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,cumulative,summer,MISSING_REFERENCE,1000.0,0,30.0,30.0,15.0,NA,252,NA,NA,25000000.0,404271.0,152079.0,152062.0,24999000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,cumulative,stride_and_summer,MISSING_OR_UNDEFINED_REFERENCE,1000.0,0,30.0,30.0,15.0,NA,252,NA,NA,25000000.0,404271.0,152079.0,152062.0,24999000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,cumulative,offline_same_checkpoint,MISSING_REFERENCE,1000.0,0,30.0,30.0,15.0,NA,252,NA,NA,25000000.0,404271.0,152079.0,152062.0,24999000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,interval_100k,stride,NOT_EXCEEDS,100000.0,0.0,1659.0,767.0,751.0,NA,136,13700000.0,NA,13600000.0,220557.0,84255.0,84238.0,13500000.0,13600000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,interval_100k,stride,NA,13700000.0,13600000.0,222166.0,84872.0,84855.0,13600000.0,1,13800000.0,NOT_EXCEEDS,13700000.0,222166.0,84872.0,84855.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,interval_100k,stride,NOT_EXCEEDS,13800000.0,13700000.0,223783.0,85515.0,85498.0,13700000.0,113,NA,NA,25000000.0,404271.0,152079.0,152062.0,11200000.0,11300000.0,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,interval_100k,summer,MISSING_REFERENCE,100000.0,0.0,1659.0,767.0,751.0,NA,250,NA,NA,25000000.0,404271.0,152079.0,152062.0,24900000.0,25000000.0,
