run_id,reference,field,reference_value,instrumented_value,equal
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,resolved_fill_utility,0.44909153239629757,0.44909153239629757,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,selected_accuracy,0.007869474847716652,0.007869474847716652,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,timeliness,0.9984756097560976,0.9984756097560976,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,useful_per_l2_miss_self,0.006470573707737522,0.006470573707737522,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,useless_per_issued,0.009653622962046304,0.009653622962046304,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,accuracy,0.005726229615275752,0.005726229615275752,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,callbacks,0,0,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,cycles,68958057,68958057,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,drop_rate,0.0,0.0,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,emitted,0,0,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,fill_per_nodup_issued,0.017494393520433714,0.017494393520433714,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,instructions,25000000,25000000,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,ipc,0.36254,0.36254,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,l2_load_miss,203238,203238,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,l2_load_miss_rate,0.5027271310581268,0.5027271310581268,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,l2_loads,404271,404271,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,late_per_issued,6.531820853926713e-05,6.531820853926713e-05,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,matched,0,0,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,merge_per_issued,0.0,0.0,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,nodup_accuracy,0.005726229615275752,0.005726229615275752,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,nodup_issued,91858,91858,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,pf_dropped,0,0,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,pf_filled,1607,1607,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,pf_issued,91858,91858,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,pf_late,6,6,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,pf_requested,91858,91858,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,pf_useful,526,526,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,pf_useless,1071,1071,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,pq_merged_duplicate_proxy,0,0,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,request_per_l2_load,0.2272188705101281,0.2272188705101281,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,resolved_fill_utility,0.32936756418284285,0.32936756418284285,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,selected_accuracy,0.005726229615275752,0.005726229615275752,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,timeliness,0.9887218045112782,0.9887218045112782,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,useful_per_l2_miss_self,0.0025880986823330282,0.0025880986823330282,True
cold_history_h8_i1m_mac4,cold_frozen_i1m_h8_s7_state64_mac4,useless_per_issued,0.011659300224259183,0.011659300224259183,True
