trace,IPC,LLC_MPKI,L2_MPKI,L1D_MPKI
619.lbm_s-4268B,0.4523,45.795,NA,NA
605.mcf_s-994B,0.439,11.964,NA,NA
620.omnetpp_s-874B,0.2806,14.141,NA,NA
602.gcc_s-734B,0.5564,8.353,NA,NA
623.xalancbmk_s-700B,1.11,1.855,NA,NA
