trace,prefetcher,demand,demand_hit,demand_miss,demand_miss_rate,covered_on_time,covered_on_time_rate,coverage_among_misses,late_prefetch,late_rate_among_misses,residual_miss,residual_miss_rate,residual_share_of_misses,original_miss_pool,pf_requested_events,pf_accepted_events,pf_duplicate_events,pf_duplicate_rate,pf_dropped_events,pf_dropped_rate,top_residual_pcs,top_residual_deltas,parse_error,event_file
619.lbm_s-4268B,streamer,295032,142710,152322,0.5162897583990889,142314,0.48236801431709103,0.4830163320164542,112350,0.7375822271241187,152322,0.5162897583990889,0.5169836679835458,294636,262880,262880,8,3.0432136335970785e-05,0,0.0,"[('4201648', 60776), ('4201986', 25037), ('4202087', 17762), ('4202035', 16837), ('4201691', 15568), ('4201748', 7947), ('4201795', 7476), ('4202061', 162), ('4202100', 133), ('4202048', 112)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.streamer.events.csv.gz
619.lbm_s-4268B,ampm,295027,236338,58689,0.19892755578303004,235949,0.7997539208275852,0.8008098072889444,24892,0.42413399444529637,58689,0.19892755578303004,0.1991901927110556,294638,1006819,1006819,231128,0.22956261254505528,0,0.0,"[('4201648', 28551), ('4202035', 7788), ('4201986', 6442), ('4202087', 5929), ('4201748', 3845), ('4201691', 2884), ('4201795', 2590), ('4202100', 111), ('4202605', 86), ('4203468', 83)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.ampm.events.csv.gz
619.lbm_s-4268B,spp,295024,69192,225832,0.765469927870275,68778,0.2331267964640165,0.23345439733885476,63324,0.2804031315314039,225832,0.765469927870275,0.7665456026611452,294610,1906368,1906368,632336,0.331696713331319,0,0.0,"[('4201648', 77268), ('4201986', 29605), ('4202035', 29209), ('4202087', 27945), ('4201748', 20821), ('4201691', 20794), ('4201795', 19141), ('4202100', 204), ('4202048', 178), ('4202061', 166)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.spp.events.csv.gz
619.lbm_s-4268B,ipcp,295039,396,294643,0.9986578045614308,0,0.0,0.0,0,0.0,294643,0.9986578045614308,1.0,294643,11,11,0,0.0,0,0.0,"[('4201648', 117754), ('4201986', 35712), ('4202087', 35373), ('4202035', 35297), ('4201795', 23084), ('4201691', 23067), ('4201748', 22991), ('4202048', 334), ('4202100', 288), ('4202061', 196)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.ipcp.events.csv.gz
619.lbm_s-4268B,sms,295545,256323,39222,0.13271075470740495,255931,0.8659628821330085,0.8671129888566269,25285,0.644663709142828,39222,0.13271075470740495,0.1328870111433731,295153,285290,285290,0,0.0,0,0.0,"[('4201648', 19323), ('4202035', 5348), ('4201986', 4389), ('4202087', 4263), ('4201748', 1949), ('4201795', 1580), ('4201691', 1323), ('4203468', 565), ('4202100', 88), ('4202605', 84)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.sms.events.csv.gz
619.lbm_s-4268B,sandbox,295024,209741,85283,0.28907139758121375,209323,0.7095117685340854,0.7105184551570572,76994,0.9028059519482194,85283,0.28907139758121375,0.28948154484294275,294606,1696544,1696544,448317,0.26425309334741687,0,0.0,"[('4201648', 31860), ('4202035', 16232), ('4201986', 13136), ('4201748', 9112), ('4202087', 7428), ('4201691', 5128), ('4201795', 1639), ('4202061', 148), ('4202048', 106), ('4202100', 98)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.sandbox.events.csv.gz
619.lbm_s-4268B,power7,295027,160931,134096,0.45452111162707143,160540,0.5441535859429815,0.5448757110468511,76667,0.5717321918625462,134096,0.45452111162707143,0.455124288953149,294636,391461,391461,14277,0.03647106608321136,0,0.0,"[('4201648', 68756), ('4201986', 16363), ('4202035', 14299), ('4202087', 13787), ('4201691', 8252), ('4201748', 6647), ('4201795', 5120), ('4202061', 150), ('4202100', 140), ('4202048', 86)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.power7.events.csv.gz
605.mcf_s-994B,no_pref,985276,245053,740223,0.7512849191495581,0,0.0,0.0,0,0.0,740223,0.7512849191495581,1.0,740223,0,0,0,0.0,0,0.0,"[('4203599', 423829), ('4203612', 260625), ('4203584', 54454), ('4223045', 621), ('4203590', 227), ('4203587', 221), ('4203614', 141), ('4218147', 33), ('4214720', 24), ('4218177', 12)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.no_pref.events.csv.gz
605.mcf_s-994B,stride,985274,249879,735395,0.7463862844244342,4858,0.004930608135401929,0.0065626211579014205,0,0.0,735395,0.7463862844244342,0.9934373788420986,740253,14393,14393,4,0.0002779128743139026,0,0.0,"[('4203599', 423739), ('4203612', 260725), ('4203584', 49651), ('4223045', 596), ('4203590', 227), ('4203587', 220), ('4203614', 141), ('4218147', 27), ('4214720', 24), ('4218061', 11)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.stride.events.csv.gz
605.mcf_s-994B,streamer,985268,283775,701493,0.711981917610234,93414,0.09481075199844104,0.11751563390434352,17792,0.025363047100968934,701493,0.711981917610234,0.8824843660956565,794907,1061254,1061254,44035,0.04149336539603149,0,0.0,"[('4203599', 422532), ('4203612', 273825), ('4203584', 3980), ('4203590', 390), ('4203587', 377), ('4203614', 235), ('4223045', 61), ('4218147', 49), ('4214720', 36), ('4218115', 2)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.streamer.events.csv.gz
605.mcf_s-994B,ampm,985273,298183,687090,0.6973600210297044,59074,0.059956986540786156,0.07917026283766035,1267,0.0018440087906969975,687090,0.6973600210297044,0.9208297371623396,746164,298378,298378,601,0.002014223568761772,0,0.0,"[('4203599', 422162), ('4203612', 261424), ('4203584', 2750), ('4203590', 236), ('4203587', 228), ('4203614', 143), ('4223045', 42), ('4218147', 32), ('4214720', 25), ('4218061', 12)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.ampm.events.csv.gz
