label,features,params,val_off_acc,val_page_acc,test_off_acc,test_page_acc,test_both_acc,train_s,inf_us
V1,['delta_hist'],290256,0.012427968940916795,0.37011036222458715,0.012568194809008854,0.007955490044069948,8.841398137441597e-07,664.4862051010132,450.33052249993943
V2,"['delta_hist', 'pc']",554448,0.040411493437389145,0.3693256079776122,0.012656314077112022,0.0036992409807055644,5.761644452899441e-05,809.8337666988373,497.6866169999994
V3,"['delta_hist', 'page', 'pc']",686544,0.03461511174175239,0.3350293642347562,0.014987643409319747,0.0572048774456965,0.0008299125718345179,970.78693318367,571.3740004998726
V4,"['delta_hist', 'page', 'pc', 'pc_stats']",694864,0.030293642347562176,0.36395293839422965,0.012579541269951904,0.04410325161572867,0.00042748159994530124,1457.2788062095642,574.1361089999373
