run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,eligible_callbacks,pf_requested,pf_filled,pf_dropped,input_drops,pf_useful,admitted_decisions,l2_load_miss,output_drops,state_evictions,pf_issued,numerical_failures,decoder_limit_drops,l2_loads,instructions,pf_useless,pq_merged_duplicate_proxy,cycles,pf_late,completed_decisions,window,start_instructions,end_instructions,cumulative_cycles,ipc,l2_mpki,l2_load_miss_rate,useful_prefetch_coverage,miss_reduction,raw_accuracy,selected_accuracy,legacy_timeliness,request_pressure,window_cycles_saved_vs_stride,cumulative_cycles_saved_vs_stride,total_eligible_callbacks,total_admitted_decisions,total_completed_decisions,total_state_evictions,total_input_drops,total_output_drops,total_decoder_limit_drops,total_numerical_failures
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16196.0,4803.0,1461.0,0.0,0.0,1451.0,0.0,7144.0,0.0,0.0,4803.0,0.0,0.0,16195.0,1000000.0,5.0,0.0,2783057.0,0.0,0.0,1,0.0,1000000.0,2783057.0,0.3593171106448772,7.144,0.4411238036430997,0.16881908086096567,0.16881908086096567,0.3021028523839267,0.3021028523839267,1.0,0.29657301636307504,0.0,0.0,16196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16124.0,4845.0,1430.0,0.0,0.0,1411.0,0.0,6605.0,0.0,0.0,4845.0,0.0,0.0,16125.0,1000000.0,10.0,0.0,2727232.0,0.0,0.0,2,1000000.0,2000000.0,5510289.0,0.36667214230399175,6.605,0.4096124031007752,0.17602295409181637,0.17602295409181637,0.2912280701754386,0.2912280701754386,1.0,0.30046511627906974,0.0,0.0,32320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16133.0,4635.0,1389.0,0.0,0.0,1379.0,0.0,6622.0,0.0,0.0,4635.0,0.0,0.0,16133.0,1000000.0,19.0,0.0,2735497.0,1.0,0.0,3,2000000.0,3000000.0,8245786.0,0.36556428319972567,6.622,0.4104630260955805,0.17235345581802275,0.17235345581802275,0.2975188781014024,0.2975188781014024,0.9992753623188406,0.2872993243662059,0.0,0.0,48453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16100.0,4888.0,1409.0,0.0,0.0,1387.0,0.0,6617.0,0.0,0.0,4888.0,0.0,0.0,16100.0,1000000.0,12.0,0.0,2741288.0,0.0,0.0,4,3000000.0,4000000.0,10987074.0,0.36479202477083766,6.617,0.41099378881987575,0.17328835582208896,0.17328835582208896,0.28375613747954176,0.28375613747954176,1.0,0.3036024844720497,0.0,0.0,64553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16178.0,4929.0,1398.0,0.0,0.0,1378.0,0.0,6666.0,0.0,0.0,4929.0,0.0,0.0,16178.0,1000000.0,25.0,0.0,2742304.0,2.0,0.0,5,4000000.0,5000000.0,13729378.0,0.3646568724692813,6.666,0.4120410433922611,0.1713078070611636,0.1713078070611636,0.27956989247311825,0.27956989247311825,0.9985507246376811,0.3046730127333416,0.0,0.0,80731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16126.0,4940.0,1426.0,0.0,0.0,1398.0,0.0,6691.0,0.0,0.0,4940.0,0.0,0.0,16125.0,1000000.0,21.0,0.0,2756958.0,1.0,0.0,6,5000000.0,6000000.0,16486336.0,0.36271861957998636,6.691,0.41494573643410854,0.17282729632834715,0.17282729632834715,0.28299595141700407,0.28299595141700407,0.9992852037169406,0.3063565891472868,0.0,0.0,96857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16179.0,4945.0,1413.0,0.0,0.0,1400.0,0.0,6690.0,0.0,0.0,4945.0,0.0,0.0,16180.0,1000000.0,25.0,0.0,2729139.0,2.0,0.0,7,6000000.0,7000000.0,19215475.0,0.3664159282469673,6.69,0.4134734239802225,0.173053152039555,0.173053152039555,0.28311425682507585,0.28311425682507585,0.9985734664764622,0.30562422744128553,0.0,0.0,113036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16131.0,4800.0,1401.0,0.0,0.0,1393.0,0.0,6624.0,0.0,0.0,4800.0,0.0,0.0,16131.0,1000000.0,9.0,0.0,2727698.0,2.0,0.0,8,7000000.0,8000000.0,21943173.0,0.3666095000252961,6.624,0.41063790217593454,0.17375576899089434,0.17375576899089434,0.29020833333333335,0.29020833333333335,0.9985663082437276,0.29756369722893805,0.0,0.0,129167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16161.0,4861.0,1430.0,0.0,0.0,1408.0,0.0,6681.0,0.0,0.0,4861.0,0.0,0.0,16161.0,1000000.0,12.0,0.0,2747104.0,5.0,0.0,9,8000000.0,9000000.0,24690277.0,0.36401970948315027,6.681,0.4134026359754966,0.1740635430831994,0.1740635430831994,0.28965233491051223,0.28965233491051223,0.9964614295824487,0.3007858424602438,0.0,0.0,145328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16148.0,4911.0,1405.0,0.0,0.0,1391.0,0.0,6657.0,0.0,0.0,4911.0,0.0,0.0,16148.0,1000000.0,18.0,0.0,2729108.0,2.0,0.0,10,9000000.0,10000000.0,27419385.0,0.3664200903738511,6.657,0.4122491949467426,0.172837972166998,0.172837972166998,0.283241702300957,0.283241702300957,0.9985642498205313,0.3041243497646767,0.0,0.0,161476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16137.0,4987.0,1406.0,0.0,0.0,1391.0,0.0,6623.0,0.0,0.0,4987.0,0.0,0.0,16137.0,1000000.0,16.0,0.0,2730553.0,0.0,0.0,11,10000000.0,11000000.0,30149938.0,0.3662261820224694,6.623,0.41042325091404847,0.17357125031195408,0.17357125031195408,0.27892520553438943,0.27892520553438943,1.0,0.3090413335812109,0.0,0.0,177613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16443.0,5124.0,1478.0,0.0,0.0,1425.0,0.0,7216.0,0.0,0.0,5124.0,0.0,0.0,16443.0,1000000.0,19.0,0.0,2829167.0,73.0,0.0,12,11000000.0,12000000.0,32979105.0,0.3534609303727917,7.216,0.4388493583895883,0.16491146858002545,0.16491146858002545,0.2781030444964871,0.2781030444964871,0.9512683578104139,0.3116219667943806,0.0,0.0,194056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16477.0,4826.0,1488.0,0.0,0.0,1417.0,0.0,7344.0,0.0,0.0,4826.0,0.0,0.0,16477.0,1000000.0,68.0,0.0,2881903.0,51.0,0.0,13,12000000.0,13000000.0,35861008.0,0.34699294181657053,7.344,0.4457122048916672,0.1617395274512042,0.1617395274512042,0.29361790302527974,0.29361790302527974,0.965258855585831,0.29289312374825516,0.0,0.0,210533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16478.0,4613.0,1442.0,0.0,0.0,1401.0,0.0,7659.0,0.0,0.0,4613.0,0.0,0.0,16478.0,1000000.0,68.0,0.0,2908369.0,15.0,0.0,14,13000000.0,14000000.0,38769377.0,0.343835324884841,7.659,0.4648015535866003,0.1546528314383486,0.15454244397836406,0.3037069152395404,0.3037069152395404,0.989406779661017,0.27994902293967716,0.0,0.0,227011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16096.0,4614.0,1412.0,0.0,0.0,1392.0,0.0,6656.0,0.0,0.0,4614.0,0.0,0.0,16096.0,1000000.0,32.0,0.0,2735714.0,2.0,0.0,15,14000000.0,15000000.0,41505091.0,0.36553528621778447,6.656,0.4135188866799205,0.17296222664015903,0.17296222664015903,0.3016905071521456,0.3016905071521456,0.9985652797704447,0.286655069582505,0.0,0.0,243107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16111.0,4865.0,1400.0,0.0,0.0,1385.0,0.0,6643.0,0.0,0.0,4865.0,0.0,0.0,16111.0,1000000.0,19.0,0.0,2735975.0,1.0,0.0,16,15000000.0,16000000.0,44241066.0,0.36550041575672293,6.643,0.4123269815653901,0.17252117588440458,0.17252117588440458,0.2846865364850976,0.2846865364850976,0.9992784992784993,0.3019675997765502,0.0,0.0,259218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16140.0,4742.0,1391.0,0.0,0.0,1375.0,0.0,6663.0,0.0,0.0,4742.0,0.0,0.0,16140.0,1000000.0,13.0,0.0,2742765.0,1.0,0.0,17,16000000.0,17000000.0,46983831.0,0.36459558146614823,6.663,0.4128252788104089,0.17106245334660364,0.17106245334660364,0.289962041332771,0.289962041332771,0.9992732558139535,0.29380421313506816,0.0,0.0,275358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16122.0,4953.0,1417.0,0.0,0.0,1395.0,0.0,6651.0,0.0,0.0,4953.0,0.0,0.0,16122.0,1000000.0,23.0,0.0,2734655.0,2.0,0.0,18,17000000.0,18000000.0,49718486.0,0.36567684040582815,6.651,0.41254186825455896,0.17337807606263983,0.17337807606263983,0.2816474863718958,0.2816474863718958,0.9985683607730852,0.30721994789728324,0.0,0.0,291480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16101.0,4854.0,1404.0,0.0,0.0,1388.0,0.0,6611.0,0.0,0.0,4854.0,0.0,0.0,16101.0,1000000.0,16.0,0.0,2739843.0,1.0,0.0,19,18000000.0,19000000.0,52458329.0,0.3649844169903166,6.611,0.4105956151791814,0.17352169021127642,0.17352169021127642,0.28594973217964564,0.28594973217964564,0.9992800575953924,0.3014719582634619,0.0,0.0,307581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,16119.0,4796.0,1411.0,0.0,0.0,1394.0,0.0,6627.0,0.0,0.0,4796.0,0.0,0.0,16119.0,1000000.0,12.0,0.0,2731743.0,0.0,0.0,20,19000000.0,20000000.0,55190072.0,0.36606664682585444,6.627,0.41112972268751163,0.17379379129784317,0.17379379129784317,0.29065888240200166,0.29065888240200166,1.0,0.297537068056331,0.0,0.0,323700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
