run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,event,final,instructions,cycles,trace_origin_records,trace_records_read,NL,M,callback_loads,callback_load_misses,P,Ipf,Q,U,L,pf_filled,pf_useless,pf_dropped,l2_sets,l2_ways,line_bytes,capacity_lines,capacity_bytes,occupancy_lines,occupancy_peak,fills_load,fills_rfo,fills_prefetch,fills_writeback,replacements,invalidations,line_lifetimes,line_lifetime_cycles,useful_line_lifetimes,useful_line_lifetime_cycles,prefetch_useful_lifetimes,prefetch_fill_to_first_demand_cycles,pq_occupancy,mshr_occupancy,cohort_enqueued,cohort_timely,cohort_late,cohort_unused,cohort_redundant_cache,cohort_redundant_inflight,cohort_pending,cohort_resident_unused,measurement_unresolved_lifecycles,measurement_unresolved_lifecycles_peak,decoder_dropped_addresses,eligible_l2_callbacks,inference_dropped,inference_macs,inference_nonlinears,inference_service_cycles,nn_admitted,nn_completed,numerical_failures,output_dropped_addresses,peak_input_queue,peak_output_queue,peak_state_entries,state_evictions,input_queue,output_queue,inference_inflight,state_entries,weight_bytes,h,macs_per_cycle,weight_bandwidth_bytes_per_cycle,state_entry_bytes,state_bytes_peak,state_bytes_configured,inference_scratch_bytes,active_event_metadata_bytes,decoded_result_bytes_configured,decoded_result_bytes_peak,input_queue_bytes_configured,output_queue_bytes_configured,input_queue_bytes_peak,output_queue_bytes_peak,eligible_callbacks,l2_capacity_lines,pf_requested,input_drops,pf_useful,admitted_decisions,l2_load_miss,output_drops,pf_issued,decoder_limit_drops,l2_loads,pq_merged_duplicate_proxy,pf_late,completed_decisions,inference_scratch_traffic_bytes,nn_started,peak_decoded_addresses,occupancy_percent,replacement_turnovers
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,800000.0,1981975.0,25000000,800255,12963,2909,12963,2909,15527,15527,0,4088,0,4158.0,20.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,2909,0,4158,0,2971,0,2971,3096540771,2951,3077001005,4088,7557943,0,0,15527,4088,0,20,9908,1461,0,50,50,54,0,12963,0,23658856,1018178,0,12963,12963,0.0,0,1,2,58,0.0,0,0,0,58,7632,8,0,0,96,5568,0,1344,56,512,32,896,768,56,48,12963.0,4096.0,15527.0,0.0,4088.0,12963.0,2909.0,0.0,15527.0,0.0,12963.0,0.0,0.0,12963.0,8668968,12963,2,100.0,0.725341796875
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,900000.0,2221961.0,25000000,900253,14562,3225,14563,3226,17495,17495,0,4565,0,4636.0,25.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,3225,0,4636,0,3765,0,3765,3921892609,3740,3897044200,4565,9070912,0,1,17495,4565,0,25,11239,1620,0,46,46,54,0,14563,0,26590760,1145162,0,14563,14563,0.0,0,1,2,58,0.0,0,0,0,58,7632,8,0,0,96,5568,0,1344,56,512,32,896,768,56,48,14563.0,4096.0,17495.0,0.0,4565.0,14563.0,3225.0,0.0,17495.0,0.0,14562.0,0.0,0.0,14563.0,9740200,14563,2,100.0,0.919189453125
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,1000000.0,2468218.0,25000000,1000255,16195,3556,16196,3557,19443,19443,0,5039,0,5113.0,32.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,3556,0,5113,0,4573,0,4573,4783577195,4541,4752234526,5039,10294961,0,1,19443,5039,0,32,12544,1786,0,42,42,54,0,16196,0,29569320,1273220,0,16196,16196,0.0,0,1,2,58,0.0,0,0,0,58,7632,8,0,0,96,5568,0,1344,56,512,32,896,768,56,48,16196.0,4096.0,19443.0,0.0,5039.0,16196.0,3556.0,0.0,19443.0,0.0,16195.0,0.0,0.0,16196.0,10832072,16196,2,100.0,1.116455078125
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,0.0,0.0,25000000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,1000.0,5578.0,25000000,1252,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,30.0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,4096.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,,0,0.732421875,0.0
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,10000.0,33402.0,25000000,10252,172,172,172,172,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,172.0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.0,4096.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,,,0,4.19921875,0.0
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,100000.0,331416.0,25000000,100252,1659,1402,1659,1402,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,1402.0,1402,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659.0,4096.0,0.0,0.0,0.0,0.0,1402.0,0.0,0.0,0.0,1659.0,0.0,0.0,0.0,,,0,34.228515625,0.0
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,200000.0,604278.0,25000000,200254,3266,2203,3266,2203,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,2203.0,2203,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3266,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3266.0,4096.0,0.0,0.0,0.0,0.0,2203.0,0.0,0.0,0.0,3266.0,0.0,0.0,0.0,,,0,53.7841796875,0.0
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,300000.0,873328.0,25000000,300255,4873,2998,4873,2998,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,2997.0,2997,2998,0,0,0,1,0,1,799201,1,799201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4873,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4873.0,4096.0,0.0,0.0,0.0,0.0,2998.0,0.0,0.0,0.0,4873.0,0.0,0.0,0.0,,,0,73.1689453125,0.000244140625
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,400000.0,1148208.0,25000000,400252,6496,3798,6496,3798,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,3747.0,3747,3798,0,0,0,51,0,51,50002776,51,50002776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6496,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6496.0,4096.0,0.0,0.0,0.0,0.0,3798.0,0.0,0.0,0.0,6496.0,0.0,0.0,0.0,,,0,91.4794921875,0.012451171875
