trace,keep,method,ipc,speedup_vs_no_prefetch,requested,issued,useful,useless,useful_per_issued,useful_over_useful_plus_useless,log
620.omnetpp_s-874B,True,LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p00001_bp1p01,0.31580000,1.00031676,402,402,10,385,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p00001_bp1p01.log
620.omnetpp_s-874B,True,LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p00005_bp1p01,0.31580000,1.00031676,402,402,10,385,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p00005_bp1p01.log
620.omnetpp_s-874B,True,LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p0001_bp1p01,0.31580000,1.00031676,402,402,10,385,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p0001_bp1p01.log
620.omnetpp_s-874B,True,LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p0005_bp1p01,0.31580000,1.00031676,402,402,10,385,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p0005_bp1p01.log
620.omnetpp_s-874B,True,LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p001_bp1p01,0.31580000,1.00031676,402,402,10,385,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p001_bp1p01.log
620.omnetpp_s-874B,True,LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p005_bp1p01,0.31580000,1.00031676,402,402,10,385,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p005_bp1p01.log
620.omnetpp_s-874B,True,LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p01_bp1p01,0.31580000,1.00031676,402,402,10,385,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p01_bp1p01.log
620.omnetpp_s-874B,True,LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p05_bp1p01,0.31580000,1.00031676,402,402,10,385,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p05_bp1p01.log
620.omnetpp_s-874B,True,LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p10_bp1p01,0.31580000,1.00031676,402,402,10,385,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p10_bp1p01.log
620.omnetpp_s-874B,True,LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p20_bp1p01,0.31580000,1.00031676,402,402,10,385,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p20_bp1p01.log
623.xalancbmk_s-700B,True,LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p00001_allow_bypass,1.08000000,0.99264706,434606,434606,6748,40153,0.01552671,0.14387753,formal_NN_training/results/LSTM/draft/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p00001_allow_bypass.log
623.xalancbmk_s-700B,True,LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p00005_allow_bypass,1.08600000,0.99816176,153837,153837,1940,10654,0.01261075,0.15404161,formal_NN_training/results/LSTM/draft/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p00005_allow_bypass.log
623.xalancbmk_s-700B,True,LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p0001_allow_bypass,1.08800000,1.00000000,87428,87428,1121,4743,0.01282198,0.19116644,formal_NN_training/results/LSTM/draft/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p0001_allow_bypass.log
623.xalancbmk_s-700B,True,LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p0005_allow_bypass,1.08900000,1.00091912,11113,11113,81,530,0.00728876,0.13256956,formal_NN_training/results/LSTM/draft/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p0005_allow_bypass.log
623.xalancbmk_s-700B,True,LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p001_allow_bypass,1.08800000,1.00000000,3373,3373,15,85,0.00444708,0.15000000,formal_NN_training/results/LSTM/draft/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p001_allow_bypass.log
623.xalancbmk_s-700B,True,LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p005_allow_bypass,1.08800000,1.00000000,225,225,0,1,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p005_allow_bypass.log
623.xalancbmk_s-700B,True,LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p01_allow_bypass,1.08800000,1.00000000,199,199,0,0,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p01_allow_bypass.log
