method,ipc,speedup_vs_no_prefetch,requested,issued,useful,useless,useful_per_issued,useful_per_requested,useful_over_useful_plus_useless,log
LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p00001_allow_bypass,1.08,0.99264706,434606,434606,6748,40153,0.01552671,0.01552671,0.14387753,formal_NN_training/results/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p00001_allow_bypass.log
LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p00005_allow_bypass,1.086,0.99816176,153837,153837,1940,10654,0.01261075,0.01261075,0.15404161,formal_NN_training/results/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p00005_allow_bypass.log
LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p0001_allow_bypass,1.088,1.00000000,87428,87428,1121,4743,0.01282198,0.01282198,0.19116644,formal_NN_training/results/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p0001_allow_bypass.log
LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p0005_allow_bypass,1.089,1.00091912,11113,11113,81,530,0.00728876,0.00728876,0.13256956,formal_NN_training/results/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p0005_allow_bypass.log
LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p001_allow_bypass,1.088,1.00000000,3373,3373,15,85,0.00444708,0.00444708,0.15000000,formal_NN_training/results/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p001_allow_bypass.log
LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p005_allow_bypass,1.088,1.00000000,225,225,0,1,0.00000000,0.00000000,0.00000000,formal_NN_training/results/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p005_allow_bypass.log
LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p01_allow_bypass,1.088,1.00000000,199,199,0,0,0.00000000,0.00000000,0.00000000,formal_NN_training/results/replay_compare/logs/623.xalancbmk_s-700B.LSTM_xalancbmk_s-700B_L2_replayidx_hex_th0p01_allow_bypass.log
spp,1.09,1.00183824,1138519,1138516,1405,3920,0.00123406,0.00123406,0.26384977,formal_NN_training/results/replay_compare/logs/623.xalancbmk_s-700B.spp.log
