trace,prefetcher,ipc,speedup_vs_no_pref,l2_loads,l2_load_miss,l2_load_miss_rate,miss_reduction_vs_no_pref,pf_requested,pf_dropped,pf_issued,nodup_issued,pf_filled,pf_useful,pf_useless,pf_late,pq_merged_duplicate_proxy,accuracy,nodup_accuracy,selected_accuracy,coverage_vs_no_pref_l2_miss,useful_per_l2_miss_self,timeliness,late_per_issued,drop_rate,useless_per_issued,nodup_mode,run_failed,fail_reason,log_missing,log
619.lbm_s-4268B,ampm,0.3748,1.1639751552795032,295027,58689,0.19892755578303004,0.8008104833372364,2008610,0,2008610,1517402,496725,496363,348,25272,491208,0.24711765848024256,0.3271137114620911,0.3271137114620911,1.6846479929676654,8.457513332992553,0.9515523306526594,0.012581835199466297,0.0,0.00017325414092332508,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/619.lbm_s-4268B.ampm.log
619.lbm_s-4268B,spp,0.37933,1.1780434782608695,295024,225832,0.765469927870275,0.23352984499675875,3804639,0,3804639,2314384,190672,190662,10,65229,1490255,0.05011303306305802,0.08238131615151159,0.08238131615151159,0.6471037439035565,0.8442647631867938,0.7450906831424318,0.01714459637300674,0.0,2.62837026062131e-06,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/619.lbm_s-4268B.spp.log
619.lbm_s-4268B,ipcp,0.322,1.0,295039,294643,0.9986578045614308,-1.3575935297092374e-05,81,0,81,81,10,7,3,1,0,0.08641975308641975,0.08641975308641975,0.08641975308641975,2.3757886769911655e-05,2.3757564238756734e-05,0.875,0.012345679012345678,0.0,0.037037037037037035,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/619.lbm_s-4268B.ipcp.log
619.lbm_s-4268B,sms,0.38105,1.183385093167702,295028,38705,0.13119093780929267,0.86863585608151,568017,0,568017,568017,535220,535130,84,26099,0,0.9421020849728089,0.9421020849728089,0.9421020849728089,1.8162225638832605,13.82586229169358,0.9534967009901484,0.04594756847066197,0.0,0.0001478828978710144,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/619.lbm_s-4268B.sms.log
619.lbm_s-4268B,sandbox,0.3744,1.1627329192546585,295024,85283,0.28907139758121375,0.7105508775145177,3352602,0,3352602,2335419,489356,488051,1296,77378,1017183,0.14557379611418236,0.20897791788111683,0.20897791788111683,1.6564371994203075,5.722723168744064,0.8631516954383309,0.023079983845383376,0.0,0.00038656541993353224,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/619.lbm_s-4268B.sandbox.log
619.lbm_s-4268B,power7,0.36128,1.1219875776397514,295027,134096,0.45452111162707143,0.5448803451002753,615642,0,615642,599811,369761,368891,862,76926,15831,0.5991972607456931,0.6150120621329052,0.6150120621329052,1.2520100869199258,2.75094708268703,0.8274493794539015,0.124952488621634,0.0,0.0014001643812475433,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/619.lbm_s-4268B.power7.log
605.mcf_s-994B,no_pref,0.18318,1.0,985276,740223,0.7512849191495581,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/605.mcf_s-994B.no_pref.log
605.mcf_s-994B,stride,0.18359,1.0022382356152417,985274,735395,0.7463862844244342,0.006522358802685137,25125,0,25125,25121,7762,7595,167,1,4,0.30228855721393033,0.3023366904183751,0.3023366904183751,0.010260421521622537,0.010327783028168535,0.9998683517640864,3.980099502487562e-05,0.0,0.006646766169154229,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/605.mcf_s-994B.stride.log
605.mcf_s-994B,streamer,0.1835,1.00174691560214,985268,701493,0.711981917610234,0.052322070511183795,1775122,0,1775122,1687533,842607,154695,686999,18210,87589,0.0871461229143687,0.0916693184666611,0.0916693184666611,0.20898431959017755,0.22052251412344814,0.8946820508371649,0.010258449841757356,0.0,0.38701508966707643,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/605.mcf_s-994B.streamer.log
605.mcf_s-994B,ampm,0.18874,1.0303526585871818,985273,687090,0.6973600210297044,0.07177972043559847,509840,0,509840,508759,149168,90495,58586,1305,1081,0.17749686176055232,0.1778740032117368,0.1778740032117368,0.12225369922307197,0.1317076365541632,0.9857843137254902,0.002559626549505727,0.0,0.1149105601757414,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/605.mcf_s-994B.ampm.log
