method,ipc,speedup_vs_no_prefetch,requested,issued,useful,useless,useful_per_issued,useful_per_requested,useful_over_useful_plus_useless,log
LSTM_mcf_s-994B_L2_replayidx_hex_th0p00001_allow_bypass,0.1777,0.96523628,269119,269119,242,234525,0.00089923,0.00089923,0.00103081,formal_NN_training/results/replay_compare/logs/605.mcf_s-994B.LSTM_mcf_s-994B_L2_replayidx_hex_th0p00001_allow_bypass.log
LSTM_mcf_s-994B_L2_replayidx_hex_th0p00005_allow_bypass,0.1807,0.98153178,122560,122560,100,112726,0.00081593,0.00081593,0.00088632,formal_NN_training/results/replay_compare/logs/605.mcf_s-994B.LSTM_mcf_s-994B_L2_replayidx_hex_th0p00005_allow_bypass.log
LSTM_mcf_s-994B_L2_replayidx_hex_th0p0001_allow_bypass,0.1819,0.98804997,67874,67874,96,64374,0.00141439,0.00141439,0.00148906,formal_NN_training/results/replay_compare/logs/605.mcf_s-994B.LSTM_mcf_s-994B_L2_replayidx_hex_th0p0001_allow_bypass.log
LSTM_mcf_s-994B_L2_replayidx_hex_th0p0002_allow_bypass,0.1829,0.99348180,34451,34451,51,32605,0.00148036,0.00148036,0.00156173,formal_NN_training/results/replay_compare/logs/605.mcf_s-994B.LSTM_mcf_s-994B_L2_replayidx_hex_th0p0002_allow_bypass.log
LSTM_mcf_s-994B_L2_replayidx_hex_th0p0005_allow_bypass,0.1833,0.99565454,19079,19079,96,18309,0.00503171,0.00503171,0.00521597,formal_NN_training/results/replay_compare/logs/605.mcf_s-994B.LSTM_mcf_s-994B_L2_replayidx_hex_th0p0005_allow_bypass.log
LSTM_mcf_s-994B_L2_replayidx_hex_th0p001_allow_bypass,0.1838,0.99837045,7365,7365,57,6942,0.00773931,0.00773931,0.00814402,formal_NN_training/results/replay_compare/logs/605.mcf_s-994B.LSTM_mcf_s-994B_L2_replayidx_hex_th0p001_allow_bypass.log
spp,0.1872,1.01683867,820943,820943,23861,2790,0.02906536,0.02906536,0.89531350,formal_NN_training/results/replay_compare/logs/605.mcf_s-994B.spp.log
