run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,training_admitted,training_dropped,publications_during_inference,peak_state_entries,peak_teacher_queue,macs_per_cycle,weight_bandwidth_bytes_per_cycle,inference_macs,inference_nonlinears,training_forward_macs,training_modeled_macs,training_modeled_nonlinears,inference_service_cycles,training_service_cycles,publication_cycles,teacher_calls,teacher_tag_comparison_bound,max_tbptt_span,peak_padded_positions,peak_inflight_updates,peak_input_queue,peak_output_queue,peak_training_queue,inference_scratch_traffic_bytes,training_state_traffic_bytes,input_queue,output_queue,training_queue,inference_inflight,update_inflight,callback_loads,callback_load_misses,capacity_bytes,capacity_lines,line_bytes,l2_sets,l2_ways,fills_load,fills_rfo,fills_prefetch,fills_writeback,replacements,occupancy_peak,line_lifetimes,line_lifetime_cycles,useful_line_lifetimes,useful_line_lifetime_cycles,prefetch_useful_lifetimes,prefetch_fill_to_first_demand_cycles,eligible_callbacks,admitted_decisions,completed_decisions,supervised_decisions,available_positive_decisions,positive_actions,completed_updates,training_sample_exposures,published_versions,state_evictions,input_drops,output_drops,training_drops,decoder_limit_drops,numerical_failures,peak_effective_same_lifetime_tbptt_span,peak_padded_projection_positions,total_padded_projection_positions,trainer_available_decisions,trainer_available_positive_decisions,training_action_exposures,last_loss,last_gradient_l2,last_gate_class_weights,class_balance_history,optimizer,learning_rate,library_threads,host_seconds,simulator_wall_seconds,simulator_peak_rss_kib,nn_started,updates_started,mean_inference_macs,mean_inference_nonlinears,mean_update_macs,mean_update_nonlinears,worker_host_elapsed_seconds_since_initialization,worker_host_cpu_seconds,worker_peak_rss_bytes,worker_rss_scope
cold_online_random_h16_s7_state0_mac0,scratch,cold,final,16,7,,0,0,25000000,25000000,25000000,404271,0,NA,92,1,0,0,2017914176,59381129,2355968368,7067905104,349479177,0,0,0,404271,25873344,41,576,1,1,3,64,320452968,1467574848,0,0,47,0,0,404271,93465,262144,4096,64,512.0,8.0,93465,2,113680,0,203051,4096,203051,233473018835,199707,229659086472,110302,324806217,404271.0,404271.0,404271.0,404271.0,62731.0,123177.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,41,576,689311,404224,62723,123161,0.08423161506652832,0.2000393415306804,"[0.591834306716919, 3.222294807434082]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,251.38012899458408,251.38012899458408,11052,404271,6316,4991.488818144265,146.88446363948935,1119047.673210893,55332.358613046235,252.27224294655025,130.396235,295976960,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s17_state0_mac0,scratch,cold,final,8,17,,0,0,25000000,25000000,25000000,404271,0,NA,92,1,0,0,729402224,30810199,946660064,2839980192,150036684,0,0,0,404271,25873344,41,576,1,1,2,64,269465544,768006656,0,0,47,0,0,404271,86750,262144,4096,64,512.0,8.0,86750,2,120807,0,203463,4096,203463,232218255196,199709,227898979624,117019,312939507,404271.0,404271.0,404271.0,404271.0,62753.0,123226.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,41,576,688601,404224,62748,123216,0.47525084018707275,0.22703030669313154,"[0.5918776392936707, 3.22101092338562]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,244.5283257123083,244.5283257123083,10708,404271,6316,1804.2407790813588,76.21174657593545,449648.5421152628,23755.016466117795,245.46231992542744,132.23686700000002,293810176,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s27_state0_mac0,scratch,cold,final,8,27,,0,0,25000000,25000000,25000000,404271,0,NA,92,1,0,0,729840184,30859013,945831424,2837494272,150030360,0,0,0,404271,25873344,41,576,1,1,3,64,269512992,767576576,0,0,47,0,0,404271,85943,262144,4096,64,512.0,8.0,85943,2,121263,0,203112,4096,203112,231901542219,199716,227974470002,117823,333523343,404271.0,404271.0,404271.0,404271.0,62853.0,123418.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,41,576,687749,404224,62848,123408,0.47499462962150574,0.20131401507608918,"[0.5920509696006775, 3.215885877609253]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,228.14773687534034,228.14773687534034,10800,404271,6316,1805.324111796295,76.33249231332448,449254.95123495883,23754.01519949335,229.03151190653443,114.714854,293847040,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s7_state0_mac0,scratch,cold,final,8,7,,0,0,25000000,25000000,25000000,404271,0,NA,92,1,0,0,727546480,30602651,946696904,2840090712,150030807,0,0,0,404271,25873344,41,576,1,1,2,64,269270184,768033184,0,0,47,0,0,404271,87419,262144,4096,64,512.0,8.0,87419,2,120129,0,203454,4096,203454,232269229644,199717,227924199997,116351,314578746,404271.0,404271.0,404271.0,404271.0,62706.0,123127.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,41,576,688659,404224,62701,123117,0.4224056303501129,0.4817801991426856,"[0.5917961597442627, 3.2234253883361816]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,227.01623539812863,227.01623539812863,10752,404271,6316,1799.6504325069075,75.69835827947095,449666.04053198226,23754.08597213426,227.88728401437402,114.14971800000001,293994496,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s7_state64_mac0,scratch,cold,final,8,7,,64,0,25000000,25000000,25000000,404271,0,NA,64,1,0,0,727584616,30606917,946680184,2840040552,150031233,0,0,0,404271,25873344,41,576,1,1,2,64,269274192,768023840,0,0,47,0,0,404271,87385,262144,4096,64,512.0,8.0,87385,2,120155,0,203446,4096,203446,232270435144,199718,227932055379,116385,311329445,404271.0,404271.0,404271.0,404271.0,62712.0,123139.0,6316.0,404224.0,6316.0,30.0,0.0,0.0,0.0,0.0,0.0,41,576,688640,404224,62707,123129,0.4226641058921814,0.46238426353532214,"[0.5918065309524536, 3.2231171131134033]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,252.5058390069753,252.5058390069753,11168,404271,6316,1799.744765268842,75.70891060699383,449658.09879670676,23754.153419886003,253.38830909319222,141.624105,296628224,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s7_state64_mac16,scratch,cold,final,8,7,,64,16,25000000,25000000,25000000,28288,125021,440,62,7,16,64,275155016,11521985,78127112,234381336,10764867,68926241,68963112,56448,404271,25873344,38,448,1,16,2,64,102031456,59630272,16,0,64,1,1,404271,202521,262144,4096,64,512.0,8.0,202521,2,3499,0,201926,4096,201926,260152637687,199690,257289798282,1244,125354782,404271.0,153326.0,153309.0,404271.0,62424.0,122524.0,440.0,28160.0,440.0,0.0,250945.0,0.0,125021.0,0.0,0.0,38,448,59804,28224,4425,8706,0.6189242005348206,0.5284674495058027,"[0.5929660797119141, 3.189152479171753]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,117.51893932558596,117.51893932558596,10752,153310,441,1794.7623507925118,75.15481703737525,531476.9523809524,24410.12925170068,118.37557308934629,12.674984,296321024,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s7_state64_mac4,scratch,cold,final,8,7,,64,4,25000000,25000000,25000000,16320,67420,253,55,7,4,16,151199808,6394979,47617296,142851888,6238734,68961384,68843652,123190,404271,25873344,38,468,1,16,2,64,55824728,35681792,16,0,64,1,1,404271,203276,262144,4096,64,512.0,8.0,203276,2,1705,0,200887,4096,200887,260291969396,199678,258814465399,488,54636510,404271.0,83757.0,83740.0,404271.0,62430.0,122532.0,253.0,16192.0,253.0,0.0,320514.0,0.0,67420.0,0.0,0.0,38,468,37077,16256,2370,4680,0.5647907257080078,0.10323884498453044,"[0.58533775806427, 3.4295358657836914]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,109.18159951269627,109.18159951269627,10784,83741,254,1805.5648726430302,76.3661647221791,562409.0078740157,24561.944881889765,110.11199144087732,8.254206,295796736,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_warm_h16_s7_state0_mac0,warm,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,404271,0,NA,92,1,0,0,1938408992,54695966,2363203760,7089611280,349482177,0,0,0,404271,25873344,41,576,1,1,3,64,318181680,1469576960,0,0,47,0,0,404271,117952,262144,4096,64,512.0,8.0,117952,2,88819,0,202677,4096,202677,241061725753,199702,237612322015,85816,247594515,404271.0,404271.0,404271.0,404271.0,62115.0,121852.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,41,576,693387,404224,62107,121836,0.05978452041745186,0.1450790416918165,"[0.5907686352729797, 3.2542548179626465]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,253.17949236370623,253.17949236370623,10916,404271,6316,4794.825728286224,135.29529944022698,1122484.3698543382,55332.83359721342,254.07919936813414,131.469205,296022016,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_warm_h8_s7_state0_mac0,warm,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,404271,0,NA,92,1,0,0,726276640,30460607,946942712,2840828136,150027093,0,0,0,404271,25873344,41,576,1,1,2,64,269136696,768167488,0,0,47,0,0,404271,87778,262144,4096,64,512.0,8.0,87778,2,119501,0,203185,4096,203185,232305831542,199716,228347199633,115988,319569669,404271.0,404271.0,404271.0,404271.0,62637.0,122990.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,41,576,688930,404224,62631,122978,0.37132197618484497,0.3221432049317648,"[0.5916748642921448, 3.2270281314849854]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,241.59736477397382,241.59736477397382,10860,404271,6316,1796.5093711891282,75.34699990847723,449782.795440152,23753.497941735277,242.48717961087823,129.389645,294268928,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,404271,168865,262144,4096,64,512.0,8.0,168865,2,35439,0,200210,4096,200210,258534252682,199675,257906528822,34900,51057374,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.26426592282951,106.26426592282951,10336,NA,NA,NA,NA,NA,NA,,,,
historical_frozen_i1m_h16_s7_state0_mac0,frozen,historical,final,16,7,i1m,0,0,25000000,25000000,25000004,0,0,NA,51,0,0,0,2079092976,62993844,0,0,0,0,0,0,0,0,0,0,0,1,2,0,322168104,NA,0,0,0,0,0,404219,84667,262144,4096,64,512.0,8.0,84667,2,121987,0,206656,4096,202568,211082933550,199084,207234666740,118463,599545538,404219.0,404219.0,404219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.39391775242984,154.39391775242984,11212,404219,NA,5143.481568159834,155.84087833575364,NA,NA,,,,
historical_frozen_i1m_h8_s7_state0_mac0,frozen,historical,final,8,7,i1m,0,0,25000000,25000000,25000004,0,0,NA,51,0,0,0,715075320,29214134,0,0,0,0,0,0,0,0,0,0,0,1,2,0,267934616,NA,0,0,0,0,0,404219,85315,262144,4096,64,512.0,8.0,85315,2,121051,0,206368,4096,202280,211496497962,199080,207880118847,117814,557578637,404219.0,404219.0,404219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.78167251311243,151.78167251311243,11068,404219,NA,1769.029461752169,72.27303516163268,NA,NA,,,,
historical_frozen_i20m_h16_s7_state0_mac0,frozen,historical,final,16,7,i20m,0,0,25000000,25000000,25000004,0,0,NA,51,0,0,0,2032827088,60267463,0,0,0,0,0,0,0,0,0,0,0,1,2,0,320846208,NA,0,0,0,0,0,404219,84383,262144,4096,64,512.0,8.0,84383,2,123123,0,207508,4096,203420,211033234144,199097,206338293857,118748,574077337,404219.0,404219.0,404219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.0868935380131,156.0868935380131,10972,404219,NA,5029.024088427313,149.09606673610097,NA,NA,,,,
historical_frozen_i20m_h8_s7_state0_mac0,frozen,historical,final,8,7,i20m,0,0,25000000,25000000,25000004,0,0,NA,51,0,0,0,731143864,31011619,0,0,0,0,0,0,0,0,0,0,0,1,2,0,269623280,NA,0,0,0,0,0,404219,86189,262144,4096,64,512.0,8.0,86189,2,121385,0,207576,4096,203488,211311885272,199097,206532214735,116943,555144705,404219.0,404219.0,404219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.29971608519554,154.29971608519554,10764,404219,NA,1808.781536741222,76.71984493554237,NA,NA,,,,
