run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,category,configured_max_bytes,observed_peak_bytes,configured_max_kib,observed_peak_kib,scope,note
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,active FP32 weights,0,0,0.0,0.0,required logical predictor/trainer storage,
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,"PC tags, valid/replacement metadata and h/c",0,0,0.0,0.0,required logical predictor/trainer storage,exact-PC entries; logical packed metadata plus FP32 h/c
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,inference scratch,0,0,0.0,0.0,required logical predictor/trainer storage,"fixed arithmetic workspace reservation, not a sampled allocator peak"
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,active event metadata,0,0,0.0,0.0,required logical predictor/trainer storage,fixed active packet reservation
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,decoded delta/address result payload,0,0,0.0,0.0,required logical predictor/trainer storage,
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,input queue,0,0,0.0,0.0,required logical predictor/trainer storage,
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,output queue,0,0,0.0,0.0,required logical predictor/trainer storage,
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,shadow Stride / conventional Stride state,0,0,0.0,0.0,required logical predictor/trainer storage,
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,teacher label availability queue,0,0,0.0,0.0,required logical predictor/trainer storage,"48-byte reserved hardware packets per occupied entry; current co-simulation availability Label uses 24 bytes, excluding host deque overhead"
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,active FP32 weights,20880,20880,20.390625,20.390625,required logical predictor/trainer storage,
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,"PC tags, valid/replacement metadata and h/c",NA,14720,NA,14.375,required logical predictor/trainer storage,UNBOUNDED configured maximum
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,inference scratch,2176,2176,2.125,2.125,required logical predictor/trainer storage,"fixed arithmetic workspace reservation, not a sampled allocator peak"
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,active event metadata,56,56,0.0546875,0.0546875,required logical predictor/trainer storage,fixed active packet reservation
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,decoded delta/address result payload,512,48,0.5,0.046875,required logical predictor/trainer storage,
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,input queue,896,56,0.875,0.0546875,required logical predictor/trainer storage,
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,output queue,768,72,0.75,0.0703125,required logical predictor/trainer storage,
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,shadow Stride / conventional Stride state,2064,2064,2.015625,2.015625,required logical predictor/trainer storage,
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,teacher label availability queue,3072,48,3.0,0.046875,required logical predictor/trainer storage,"48-byte reserved hardware packets per occupied entry; current co-simulation availability Label uses 24 bytes, excluding host deque overhead"
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,bounded training examples and saved start states,23552,22528.0,23.0,22.0,required logical predictor/trainer storage,"64 pending plus one batch in worker; summed component peaks are conservative, not guaranteed simultaneous"
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,padded training input and target tensors,557568,304128,544.5,297.0,required logical predictor/trainer storage,
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,TBPTT autograd-saved activations,2097152,94416,2048.0,92.203125,required logical predictor/trainer storage,unique underlying saved storages; excludes parameter and padded input/target storage; aliases counted once
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,gradient tensors,20880,20880,20.390625,20.390625,required logical predictor/trainer storage,
