run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,event,final,instructions,cycles,trace_origin_records,trace_records_read,NL,M,callback_loads,callback_load_misses,P,Ipf,Q,U,L,pf_filled,pf_useless,pf_dropped,l2_sets,l2_ways,line_bytes,capacity_lines,capacity_bytes,occupancy_lines,occupancy_peak,fills_load,fills_rfo,fills_prefetch,fills_writeback,replacements,invalidations,line_lifetimes,line_lifetime_cycles,useful_line_lifetimes,useful_line_lifetime_cycles,prefetch_useful_lifetimes,prefetch_fill_to_first_demand_cycles,pq_occupancy,mshr_occupancy,cohort_enqueued,cohort_timely,cohort_late,cohort_unused,cohort_redundant_cache,cohort_redundant_inflight,cohort_pending,cohort_resident_unused,measurement_unresolved_lifecycles,measurement_unresolved_lifecycles_peak,available_positive_actions,available_positive_decisions,available_supervised_decisions,completed_updates,decoder_dropped_addresses,eligible_l2_callbacks,inference_dropped,inference_macs,inference_nonlinears,inference_service_cycles,max_tbptt_span,nn_admitted,nn_completed,numerical_failures,output_dropped_addresses,peak_inflight_updates,peak_input_queue,peak_output_queue,peak_padded_positions,peak_state_entries,peak_training_queue,prediction_weight_version_max,publication_cycles,published_parameter_values,published_versions,sample_exposures,state_evictions,teacher_calls,teacher_tag_comparison_bound,training_admitted,training_dropped,training_forward_macs,training_modeled_macs,training_modeled_nonlinears,training_service_cycles,model_version,input_queue,output_queue,training_queue,inference_inflight,update_inflight,state_entries,weight_bytes,h,macs_per_cycle,weight_bandwidth_bytes_per_cycle,state_entry_bytes,state_bytes_peak,state_bytes_configured,teacher_bytes_configured,teacher_output_bytes_configured,teacher_output_bytes_peak,inference_scratch_bytes,active_event_metadata_bytes,decoded_result_bytes_configured,decoded_result_bytes_peak,retained_weight_bank_bytes_configured,input_queue_bytes_configured,output_queue_bytes_configured,input_queue_bytes_peak,output_queue_bytes_peak,training_examples_bytes_configured,publication_bytes_configured,eligible_callbacks,pf_requested,positive_actions,training_drops,l2_load_miss,l2_loads,pf_issued,pq_merged_duplicate_proxy,pf_useful,pf_late,decoder_limit_drops,training_sample_exposures,admitted_decisions,completed_decisions,supervised_decisions,input_drops,l2_capacity_lines,output_drops,inference_scratch_traffic_bytes,nn_started,peak_decoded_addresses,peak_teacher_queue,observed_teacher_actions,observed_teacher_decisions,observed_teacher_positive_decisions,training_state_traffic_bytes,updates_started,publications_during_inference,retained_weight_bank_bytes_peak
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,14000000.0,38769377.0,25000000,14000255,227011,95839,227011,95839,68107,68107,0,19630,154,19976.0,327.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,95839,2,19976,0,111721,0,111721,152375783168,111394,151971581894,19630,27625025,0,0,68107,19630,154,327,28350,19627,0,19,19,60,0,0.0,0,0.0,0,227011,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,227011.0,68107.0,0.0,0.0,95839.0,227011.0,68107.0,0.0,19630.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,,,0,0,,,,,,,
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,14100000.0,39041871.0,25000000,14100255,228609,96500,228609,96500,68556,68556,0,19768,154,20116.0,335.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,96500,2,20116,0,112522,0,112522,153986408463,112187,153574673717,19768,27713071,0,0,68556,19768,154,335,28520,19766,0,13,13,60,0,0.0,0,0.0,0,228609,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,228609.0,68556.0,0.0,0.0,96500.0,228609.0,68556.0,0.0,19768.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,,,0,0,,,,,,,
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,14200000.0,39322280.0,25000000,14200253,230196,97179,230196,97179,69045,69045,0,19912,154,20268.0,338.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,97179,2,20268,0,113353,0,113353,155013820638,113015,154598553151,19912,28383707,0,0,69045,19912,154,338,28714,19909,0,18,18,60,0,0.0,0,0.0,0,230196,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,230196.0,69045.0,0.0,0.0,97179.0,230196.0,69045.0,0.0,19912.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,,,0,0,,,,,,,
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,14300000.0,39594875.0,25000000,14300255,231823,97851,231823,97851,69518,69518,0,20051,154,20408.0,343.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,97851,2,20408,0,114165,0,114165,155953380621,113822,155531033611,20051,28655425,0,0,69518,20051,154,343,28911,20045,0,14,14,60,0,0.0,0,0.0,0,231823,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,231823.0,69518.0,0.0,0.0,97851.0,231823.0,69518.0,0.0,20051.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,,,0,0,,,,,,,
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,14400000.0,39864145.0,25000000,14400255,233418,98503,233418,98503,69973,69973,0,20191,154,20548.0,344.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,98503,2,20548,0,114957,0,114957,156894555185,114613,156471354818,20191,28743728,0,0,69973,20191,154,344,29087,20184,0,13,13,60,0,0.0,0,0.0,0,233418,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,233418.0,69973.0,0.0,0.0,98503.0,233418.0,69973.0,0.0,20191.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,,,0,0,,,,,,,
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,14500000.0,40136795.0,25000000,14500253,235048,99177,235048,99177,70433,70433,0,20325,154,20686.0,347.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,99177,2,20686,0,115769,0,115769,157888185925,115422,157461164305,20325,28826188,0,0,70433,20325,154,347,29272,20321,0,14,14,60,0,0.0,0,0.0,0,235048,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,235048.0,70433.0,0.0,0.0,99177.0,235048.0,70433.0,0.0,20325.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,,,0,0,,,,,,,
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,14600000.0,40407279.0,25000000,14600255,236643,99827,236643,99827,70903,70903,0,20465,154,20827.0,350.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,99827,2,20827,0,116560,0,116560,158827039059,116210,158396903409,20465,29293300,0,0,70903,20465,154,350,29462,20460,0,12,12,60,0,0.0,0,0.0,0,236643,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,236643.0,70903.0,0.0,0.0,99827.0,236643.0,70903.0,0.0,20465.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,,,0,0,,,,,,,
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,14700000.0,40683942.0,25000000,14700254,238273,100502,238273,100502,71386,71386,0,20601,156,20964.0,352.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,100502,2,20964,0,117372,0,117372,159799666611,117020,159366546604,20601,29757460,0,0,71386,20601,156,352,29668,20598,0,11,11,60,0,0.0,0,0.0,0,238273,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,238273.0,71386.0,0.0,0.0,100502.0,238273.0,71386.0,0.0,20601.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,,,0,0,,,,,,,
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,14800000.0,40958951.0,25000000,14800255,239878,101166,239878,101166,71840,71840,0,20738,156,21102.0,358.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,101166,2,21102,0,118174,0,118174,160766385758,117816,160324663572,20738,30232907,0,0,71840,20738,156,358,29847,20735,0,6,6,60,0,0.0,0,0.0,0,239878,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,239878.0,71840.0,0.0,0.0,101166.0,239878.0,71840.0,0.0,20738.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,,,0,0,,,,,,,
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,14900000.0,41229164.0,25000000,14900255,241479,101824,241479,101824,72259,72259,0,20880,156,21245.0,359.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,101824,2,21245,0,118975,0,118975,161765879386,118616,161322838036,20880,30512149,0,0,72259,20880,156,359,29983,20875,0,6,6,60,0,0.0,0,0.0,0,241479,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,241479.0,72259.0,0.0,0.0,101824.0,241479.0,72259.0,0.0,20880.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,,,0,0,,,,,,,
