run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,status,end_no_pref_reference,instructions,cycles,l2_loads,l2_load_miss,pf_requested,pf_issued,pf_useful,pf_late,pf_filled,pf_useless,pf_dropped,pq_merged_duplicate_proxy,ipc,l2_mpki,l2_load_miss_rate,useful_prefetch_coverage,miss_reduction,raw_accuracy,selected_accuracy,legacy_timeliness,request_pressure,cycles_saved_vs_stride,eligible_callbacks,admitted_decisions,completed_decisions,supervised_decisions,available_positive_decisions,positive_actions,completed_updates,training_sample_exposures,published_versions,state_evictions,input_drops,output_drops,training_drops,decoder_limit_drops,numerical_failures,warnings,host_seconds,simulator_wall_seconds,simulator_peak_rss_kib,worker_host_elapsed_seconds_since_initialization,worker_host_cpu_seconds,worker_peak_rss_bytes,worker_rss_scope
cold_online_random_h16_s7_state0_mac0,scratch,cold,final,16,7,,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61978610,404271,93465,415535,415535,110302,274,113680,3344,0,1290,0.40336496736535393,3.7386,0.23119392684610077,0.5413223140495868,0.5413075911348423,0.2654457506587893,0.2662723750437543,0.9975220662711619,1.0278624981757287,6519115.0,404271.0,404271.0,404271.0,404271.0,62731.0,123177.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,,251.38012899458408,251.38012899458408,11052,252.27224294655025,130.396235,295976960,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s17_state0_mac0,scratch,cold,final,8,17,,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61609799,404271,86750,447171,447171,117019,286,120807,3754,0,962,0.40577960658498496,3.47,0.2145837816712057,0.574286920162541,0.5742623819713001,0.2616873634470929,0.2622515458002864,0.9975619112569797,1.1061169364114665,6887926.0,404271.0,404271.0,404271.0,404271.0,62753.0,123226.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,,244.5283257123083,244.5283257123083,10708,245.46231992542744,132.23686700000002,293810176,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s27_state0_mac0,scratch,cold,final,8,27,,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61586041,404271,85943,449148,449148,117823,283,121263,3396,0,2163,0.40593614387390153,3.43772,0.21258759594430468,0.5782326613140693,0.5782228460375729,0.26232555861319656,0.2635949752228822,0.9976038473913265,1.1110072204041348,6911684.0,404271.0,404271.0,404271.0,404271.0,62853.0,123418.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,,228.14773687534034,228.14773687534034,10800,229.03151190653443,114.714854,293847040,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s7_state0_mac0,scratch,cold,final,8,7,,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61637622,404271,87419,439031,439031,116351,228,120129,3737,0,14,0.4055964391358252,3.49676,0.21623861221804186,0.5710086178127638,0.5709791719832747,0.2650177322330314,0.2650261834963111,0.9980442446752845,1.0859819279641627,6860103.0,404271.0,404271.0,404271.0,404271.0,62706.0,123127.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,,227.01623539812863,227.01623539812863,10752,227.88728401437402,114.14971800000001,293994496,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s7_state64_mac0,scratch,cold,final,8,7,,64,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61637414,404271,87385,439198,439198,116385,228,120155,3728,0,14,0.40559780785092636,3.4954,0.21615451021715631,0.5711754775132015,0.5711460316837126,0.26499437611282384,0.26500282341797515,0.9980448149005685,1.0863950172038064,6860311.0,404271.0,404271.0,404271.0,404271.0,62712.0,123139.0,6316.0,404224.0,6316.0,30.0,0.0,0.0,0.0,0.0,0.0,,252.5058390069753,252.5058390069753,11168,253.38830909319222,141.624105,296628224,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s7_state64_mac16,scratch,cold,final,8,7,,64,16,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,68925952,404271,202521,163042,163042,1244,1,3499,2236,0,0,0.36270808417706,8.10084,0.5009535682747464,0.006105101980722797,0.006100194342474627,0.007629935844751659,0.007629935844751659,0.9991967871485944,0.40329877730532243,-428227.0,404271.0,153326.0,153309.0,404271.0,62424.0,122524.0,440.0,28160.0,440.0,0.0,250945.0,0.0,125021.0,0.0,0.0,,117.51893932558596,117.51893932558596,10752,118.37557308934629,12.674984,296321024,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h8_s7_state64_mac4,scratch,cold,final,8,7,,64,4,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,68961217,404271,203276,92935,92935,488,2,1705,1209,0,0,0.362522604553223,8.13104,0.5028211274120578,0.002394927465106692,0.002394927465106692,0.00525098186904826,0.00525098186904826,0.9959183673469387,0.2298829250675908,-463492.0,404271.0,83757.0,83740.0,404271.0,62430.0,122532.0,253.0,16192.0,253.0,0.0,320514.0,0.0,67420.0,0.0,0.0,,109.18159951269627,109.18159951269627,10784,110.11199144087732,8.254206,295796736,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_warm_h16_s7_state0_mac0,warm,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,64076723,404271,117952,320898,320898,85816,306,88819,2975,0,17,0.3901572806711729,4.71808,0.2917646826015223,0.4211538839049096,0.4211342533519169,0.26742453988494785,0.2674387078075673,0.9964469009080142,0.793769525887338,4421002.0,404271.0,404271.0,404271.0,404271.0,62115.0,121852.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,,253.17949236370623,253.17949236370623,10916,254.07919936813414,131.469205,296022016,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_warm_h8_s7_state0_mac0,warm,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61602223,404271,87778,433469,433469,115988,298,119501,3469,0,8,0.40582951040581766,3.51112,0.21712663040386276,0.5692271451286782,0.569217329852182,0.26758084199792836,0.2675857804969767,0.9974373527337771,1.072223830054592,6895502.0,404271.0,404271.0,404271.0,404271.0,62637.0,122990.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,,241.59736477397382,241.59736477397382,10860,242.48717961087823,129.389645,294268928,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,68497725,404271,168865,121020,121020,34900,168,35439,535,0,0,0.3649756251028775,6.7546,0.4177024817511026,0.17127657486111383,0.17127166722286566,0.288382085605685,0.288382085605685,0.9952093076308886,0.29935365138731196,0.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,106.26426592282951,106.26426592282951,10336,,,,
historical_frozen_i1m_h16_s7_state0_mac0,frozen,historical,final,16,7,i1m,0,0,25000000,25000000,25000004,COMPLETE,historical same-protocol no-prefetch end counters only,25000003,61014571,404219,84667,488663,488663,118463,58,121987,3484,0,0,0.40973824105065004,3.3866795935984486,0.20945823922180798,0.5831852351438235,0.5831901580753307,0.24242269212115508,0.24242269212115508,0.9995106352460745,1.2089065580786653,,404219.0,404219.0,404219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,154.39391775242984,154.39391775242984,11212,,,,
historical_frozen_i1m_h8_s7_state0_mac0,frozen,historical,final,8,7,i1m,0,0,25000000,25000000,25000004,COMPLETE,historical same-protocol no-prefetch end counters only,25000003,61103980,404219,85315,384769,384769,117814,26,121051,3200,0,0,0.4091387009487762,3.4125995904880493,0.21106133061533475,0.5799902525956157,0.5800000984586301,0.306194106074034,0.306194106074034,0.9997793618465716,0.9518825191294817,,404219.0,404219.0,404219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,151.78167251311243,151.78167251311243,11068,,,,
historical_frozen_i20m_h16_s7_state0_mac0,frozen,historical,final,16,7,i20m,0,0,25000000,25000000,25000004,COMPLETE,historical same-protocol no-prefetch end counters only,25000003,60983624,404219,84383,433584,433584,118748,105,123123,4323,0,0,0.40994616849926796,3.3753195949616486,0.20875564978390426,0.5845882706233908,0.5845882706233908,0.2738754197571866,0.2738754197571866,0.9991165557453324,1.0726462635353609,,404219.0,404219.0,404219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,156.0868935380131,156.0868935380131,10972,,,,
historical_frozen_i20m_h8_s7_state0_mac0,frozen,historical,final,8,7,i20m,0,0,25000000,25000000,25000004,COMPLETE,historical same-protocol no-prefetch end counters only,25000003,61086777,404219,86189,455130,455130,116943,93,121385,4391,0,0,0.40925392086081086,3.44755958629285,0.2132235248714187,0.5757023792527974,0.5756974563212902,0.25694416979764023,0.25694416979764023,0.9992053727058341,1.125949052370126,,404219.0,404219.0,404219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,154.29971608519554,154.29971608519554,10764,,,,
