run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,milestone,status,first_window_end,confirmed_at_instructions,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,total_eligible_callbacks,total_supervised_decisions,total_positive_actions,total_completed_updates,total_training_sample_exposures,total_published_versions,confirmation_ipc,confirmation_useful_prefetch_coverage,confirmation_selected_accuracy,confirmation_legacy_timeliness,confirmation_request_pressure,confirmation_cumulative_cycles_saved_vs_stride,confirmation_total_eligible_callbacks,confirmation_total_supervised_decisions,confirmation_total_positive_actions,confirmation_total_completed_updates,confirmation_total_training_sample_exposures,confirmation_total_published_versions,cumulative_cycles_saved_at_confirmation
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,positive_cumulative_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,positive_window_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,99_percent_frozen_i1m_window_ipc,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_frozen_i1m_h16_s7_state0_mac0,frozen,historical,final,16,7,i1m,0,0,25000000,25000000,25000004,positive_cumulative_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_frozen_i1m_h16_s7_state0_mac0,frozen,historical,final,16,7,i1m,0,0,25000000,25000000,25000004,positive_window_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_frozen_i1m_h16_s7_state0_mac0,frozen,historical,final,16,7,i1m,0,0,25000000,25000000,25000004,99_percent_frozen_i1m_window_ipc,REACHED,1000000.0,3000000.0,0.41089529976866596,NA,0.24443187078853967,0.9995793016407236,1.2028833065214701,NA,16163.0,0.0,0.0,0.0,0.0,0.0,0.40994258344176315,NA,0.24298874104401227,0.9997894293535481,1.211182049215893,NA,48420.0,0.0,0.0,0.0,0.0,0.0,NA
historical_frozen_i1m_h8_s7_state0_mac0,frozen,historical,final,8,7,i1m,0,0,25000000,25000000,25000004,positive_cumulative_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_frozen_i1m_h8_s7_state0_mac0,frozen,historical,final,8,7,i1m,0,0,25000000,25000000,25000004,positive_window_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_frozen_i1m_h8_s7_state0_mac0,frozen,historical,final,8,7,i1m,0,0,25000000,25000000,25000004,99_percent_frozen_i1m_window_ipc,REACHED,1000000.0,3000000.0,0.41042849555793237,NA,0.2444260941370768,1.0,1.1988615270387328,NA,16163.0,0.0,0.0,0.0,0.0,0.0,0.4094997387391667,NA,0.2431376580651794,1.0,1.205851360565301,NA,48420.0,0.0,0.0,0.0,0.0,0.0,NA
historical_frozen_i20m_h16_s7_state0_mac0,frozen,historical,final,16,7,i20m,0,0,25000000,25000000,25000004,positive_cumulative_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_frozen_i20m_h16_s7_state0_mac0,frozen,historical,final,16,7,i20m,0,0,25000000,25000000,25000004,positive_window_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_frozen_i20m_h16_s7_state0_mac0,frozen,historical,final,16,7,i20m,0,0,25000000,25000000,25000004,99_percent_frozen_i1m_window_ipc,REACHED,1000000.0,3000000.0,0.41078592384521917,NA,0.24387361931672233,1.0,1.2043682712535577,NA,16163.0,0.0,0.0,0.0,0.0,0.0,0.4095904791512302,NA,0.24273486751063503,1.0,1.209384491415112,NA,48420.0,0.0,0.0,0.0,0.0,0.0,NA
historical_frozen_i20m_h8_s7_state0_mac0,frozen,historical,final,8,7,i20m,0,0,25000000,25000000,25000004,positive_cumulative_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_frozen_i20m_h8_s7_state0_mac0,frozen,historical,final,8,7,i20m,0,0,25000000,25000000,25000004,positive_window_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_frozen_i20m_h8_s7_state0_mac0,frozen,historical,final,8,7,i20m,0,0,25000000,25000000,25000004,99_percent_frozen_i1m_window_ipc,REACHED,1000000.0,3000000.0,0.40910705022361793,NA,0.25243622030001095,1.0,1.1301819081796807,NA,16163.0,0.0,0.0,0.0,0.0,0.0,0.4079146870906831,NA,0.2514750874125874,1.0,1.1345688960515714,NA,48420.0,0.0,0.0,0.0,0.0,0.0,NA
