epoch,train_loss,score,sec,loss,delta_top1,delta_top5,future_hit_acc,bypass_acc,bypass_precision,bypass_recall,bypass_f1,timing_acc
1,0.16798422134650126,0.9669311244887488,239.94803285598755,0.11265847186936316,0.9853574633936585,0.9992849982124955,0.990082475206188,0.9889424723561809,0.948876370464595,0.8140199542714612,0.8762901015299416,0.9879399698499246
2,0.11366753449216035,0.9575145615132276,240.38094067573547,0.1185862223868508,0.9827999569998925,0.9993024982562456,0.990732476831192,0.986237465593664,0.9850314198969145,0.7249532321762627,0.8352141766695603,0.9855599638999097
3,0.10585956789470924,0.9698803102378252,237.17953872680664,0.09600450813055894,0.9865399663499159,0.9993149982874957,0.9922149805374514,0.9900249750624377,0.9749066002490661,0.8136042402826855,0.886981645139361,0.9891299728249321
4,0.10216788401291832,0.9693749552696197,238.82689833641052,0.09555046360732307,0.9863949659874149,0.9993199982999957,0.9899999749999375,0.9900274750686877,0.9859208766006243,0.8041987112866348,0.8858361237514668,0.9893199732999333
5,0.10023200904713171,0.9704462104472065,238.13996148109436,0.09278620829664296,0.9867549668874173,0.9993349983374958,0.9925224813062032,0.9901599753999385,0.9710733628754308,0.8198919143629183,0.8891017694128254,0.9893374733436834
6,0.0984564713226283,0.970449975982318,236.50014638900757,0.09233960213918432,0.9867799669499173,0.9993299983249958,0.9927449818624546,0.9902174755436889,0.9794233535555694,0.8137601330284764,0.8889393466352566,0.9894124735311838
7,0.09678783767402772,0.9708114741550815,235.54048442840576,0.09137057752801706,0.9868224670561676,0.9993224983062458,0.993269983174958,0.9903074757686894,0.9766143539482662,0.8181251299106215,0.8903718365615721,0.9895099737749344
8,0.09492056181036773,0.9704602690539715,238.54542136192322,0.0917353132765987,0.9868324670811677,0.9993299983249958,0.9930424826062065,0.9901849754624387,0.977493765586035,0.8147474537518188,0.8887314363450856,0.9893824734561837
9,0.0937789306240486,0.9709606471246048,238.15941834449768,0.08984804988419862,0.9869549673874185,0.9993324983312458,0.9933549833874584,0.9903774759436899,0.9814247295015323,0.8154229889835793,0.8907558255044986,0.9895549738874347
10,0.09157015130150117,0.9706293507243673,242.47139978408813,0.09234684898132008,0.9866674666686667,0.9993124982812457,0.9931999829999575,0.990079975199938,0.9546969877366354,0.8333506547495323,0.8899062205205039,0.9893049732624332
11,0.08995466311298166,0.97092091888631,246.21887803077698,0.08960090026458278,0.9868599671499179,0.9993424983562459,0.9932599831499579,0.9902574756436892,0.9665592509272207,0.8260756599459572,0.8908128099520888,0.9895374738436846
12,0.08838364207584684,0.9700933714094535,241.76595306396484,0.09376978837544007,0.9866524666311666,0.9993324983312458,0.9931574828937072,0.9899574748936872,0.9644360397730739,0.8215547703180212,0.8872800740803097,0.9892299730749327
13,0.0867203631714061,0.9712684752303804,243.75115752220154,0.08916265822313557,0.9869849674624187,0.9993424983562459,0.9933149832874583,0.9903324758311896,0.9620770478995132,0.8318436915402203,0.8922330908786892,0.9895724739311849
14,0.08539735856029548,0.9714273659200595,245.36697006225586,0.08928817501602672,0.9871649679124198,0.9993424983562459,0.9935324838312096,0.9904849762124406,0.9781342913776016,0.8205674495946789,0.8924494178817679,0.9898299745749365
15,0.08385815887590087,0.9710377728147639,242.39109873771667,0.09100079838382835,0.9869624674061686,0.9993374983437459,0.9936149840374601,0.990232475581189,0.9616519174041298,0.8300769070879235,0.8910333286849812,0.9893799734499337
16,0.08260833802405161,0.9715941463392207,240.94785332679749,0.08851041933010122,0.9872499681249203,0.9993424983562459,0.9937224843062108,0.9905299763249408,0.9780403315600643,0.8216067345666181,0.8930245693306974,0.9897199742999357
17,0.08137542307741435,0.9717037989763667,242.7719705104828,0.08857878485061697,0.9872824682061705,0.9993449983624959,0.9937274843187108,0.990562476406191,0.9774677449225261,0.8228019122843484,0.8934909573117401,0.9897349743374358
18,0.08065234671295966,0.9717991991138138,239.67398309707642,0.08937258170298043,0.9873199682999207,0.9993249983124958,0.9937699844249611,0.9905399763499408,0.9708820662768031,0.8282061941384328,0.8938867077958497,0.9897174742936857
19,0.07991215890156397,0.9717757296621607,238.83790755271912,0.08888498284740283,0.9873074682686707,0.9993399983499959,0.9937699844249611,0.9905849764624411,0.9774802566633761,0.8232695905217211,0.893771860543834,0.989759974399936
20,0.07959102530481366,0.9718158226706193,239.8185577392578,0.08895767258524341,0.9873449683624209,0.9993424983562459,0.9938174845437113,0.9905899764749412,0.9771886559802713,0.8236333402618998,0.8938642003158134,0.989749974374936
