trace,prefetcher,behavior_ipc,behavior_speedup_vs_no_pref,behavior_l2_loads,behavior_l2_load_miss,behavior_l2_load_miss_rate,behavior_miss_reduction_vs_no_pref,behavior_pf_requested,behavior_pf_dropped,behavior_pf_issued,behavior_nodup_issued,behavior_pf_filled,behavior_pf_useful,behavior_pf_useless,behavior_pf_late,behavior_pq_merged_duplicate_proxy,behavior_accuracy,behavior_nodup_accuracy,behavior_selected_accuracy,behavior_timeliness,behavior_late_per_issued,behavior_drop_rate,behavior_useless_per_issued,behavior_run_failed,behavior_fail_reason,behavior_log_missing,behavior_log,residual_demand,residual_demand_hit,residual_demand_miss,residual_demand_miss_rate,residual_covered_on_time,residual_covered_on_time_rate,residual_coverage_among_misses,residual_late_prefetch,residual_late_rate_among_misses,residual_residual_miss,residual_residual_miss_rate,residual_residual_share_of_misses,residual_original_miss_pool,residual_pf_requested_events,residual_pf_accepted_events,residual_pf_duplicate_events,residual_pf_duplicate_rate,residual_event_file,has_residual_audit
619.lbm_s-4268B,stride,0.32465,1.0082298136645962,295026,227228,0.7701965250520293,0.2287918435780735,350381,0,350381,350375,150816,150814,0,15702,6,0.43042859059138483,0.43043596146985375,0.43043596146985375,0.9057027552907828,0.04481407382249608,0.0,0.0,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/619.lbm_s-4268B.stride.log,295026,67798,227228,0.7701965250520293,67410,0.22848833662117915,0.2287892261011818,15702,0.0691023993521925,227228,0.7701965250520293,0.7712107738988182,294638,174946,174946,3,1.7148148571559222e-05,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.stride.events.csv.gz,1
619.lbm_s-4268B,streamer,0.36368,1.12944099378882,295032,152322,0.5162897583990889,0.48302159591907384,524800,0,524800,524667,402791,401794,990,112603,133,0.7656135670731707,0.7658076456114069,0.7658076456114069,0.7810970903796095,0.21456364329268293,0.0,0.0018864329268292682,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/619.lbm_s-4268B.streamer.log,295032,142710,152322,0.5162897583990889,142314,0.48236801431709103,0.4830163320164542,112350,0.7375822271241187,152322,0.5162897583990889,0.5169836679835458,294636,262880,262880,8,3.0432136335970785e-05,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.streamer.events.csv.gz,1
619.lbm_s-4268B,ampm,0.3748,1.1639751552795032,295027,58689,0.19892755578303004,0.8008104833372364,2008610,0,2008610,1517402,496725,496363,348,25272,491208,0.24711765848024256,0.3271137114620911,0.3271137114620911,0.9515523306526594,0.012581835199466297,0.0,0.00017325414092332508,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/619.lbm_s-4268B.ampm.log,295027,236338,58689,0.19892755578303004,235949,0.7997539208275852,0.8008098072889444,24892,0.42413399444529637,58689,0.19892755578303004,0.1991901927110556,294638,1006819,1006819,231128,0.22956261254505528,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.ampm.events.csv.gz,1
619.lbm_s-4268B,spp,0.37933,1.1780434782608695,295024,225832,0.765469927870275,0.23352984499675875,3804639,0,3804639,2314384,190672,190662,10,65229,1490255,0.05011303306305802,0.08238131615151159,0.08238131615151159,0.7450906831424318,0.01714459637300674,0.0,2.62837026062131e-06,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/619.lbm_s-4268B.spp.log,295024,69192,225832,0.765469927870275,68778,0.2331267964640165,0.23345439733885476,63324,0.2804031315314039,225832,0.765469927870275,0.7665456026611452,294610,1906368,1906368,632336,0.331696713331319,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.spp.events.csv.gz,1
619.lbm_s-4268B,ipcp,0.322,1.0,295039,294643,0.9986578045614308,-1.3575935297092374e-05,81,0,81,81,10,7,3,1,0,0.08641975308641975,0.08641975308641975,0.08641975308641975,0.875,0.012345679012345678,0.0,0.037037037037037035,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/619.lbm_s-4268B.ipcp.log,295039,396,294643,0.9986578045614308,0,0.0,0.0,0,0.0,294643,0.9986578045614308,1.0,294643,11,11,0,0.0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.ipcp.events.csv.gz,1
619.lbm_s-4268B,sms,0.38105,1.183385093167702,295028,38705,0.13119093780929267,0.86863585608151,568017,0,568017,568017,535220,535130,84,26099,0,0.9421020849728089,0.9421020849728089,0.9421020849728089,0.9534967009901484,0.04594756847066197,0.0,0.0001478828978710144,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/619.lbm_s-4268B.sms.log,295545,256323,39222,0.13271075470740495,255931,0.8659628821330085,0.8671129888566269,25285,0.644663709142828,39222,0.13271075470740495,0.1328870111433731,295153,285290,285290,0,0.0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.sms.events.csv.gz,1
619.lbm_s-4268B,sandbox,0.3744,1.1627329192546585,295024,85283,0.28907139758121375,0.7105508775145177,3352602,0,3352602,2335419,489356,488051,1296,77378,1017183,0.14557379611418236,0.20897791788111683,0.20897791788111683,0.8631516954383309,0.023079983845383376,0.0,0.00038656541993353224,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/619.lbm_s-4268B.sandbox.log,295024,209741,85283,0.28907139758121375,209323,0.7095117685340854,0.7105184551570572,76994,0.9028059519482194,85283,0.28907139758121375,0.28948154484294275,294606,1696544,1696544,448317,0.26425309334741687,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.sandbox.events.csv.gz,1
619.lbm_s-4268B,power7,0.36128,1.1219875776397514,295027,134096,0.45452111162707143,0.5448803451002753,615642,0,615642,599811,369761,368891,862,76926,15831,0.5991972607456931,0.6150120621329052,0.6150120621329052,0.8274493794539015,0.124952488621634,0.0,0.0014001643812475433,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/619.lbm_s-4268B.power7.log,295027,160931,134096,0.45452111162707143,160540,0.5441535859429815,0.5448757110468511,76667,0.5717321918625462,134096,0.45452111162707143,0.455124288953149,294636,391461,391461,14277,0.03647106608321136,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.power7.events.csv.gz,1
605.mcf_s-994B,no_pref,0.18318,1.0,985276,740223,0.7512849191495581,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/605.mcf_s-994B.no_pref.log,985276,245053,740223,0.7512849191495581,0,0.0,0.0,0,0.0,740223,0.7512849191495581,1.0,740223,0,0,0,0.0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.no_pref.events.csv.gz,1
605.mcf_s-994B,stride,0.18359,1.0022382356152417,985274,735395,0.7463862844244342,0.006522358802685137,25125,0,25125,25121,7762,7595,167,1,4,0.30228855721393033,0.3023366904183751,0.3023366904183751,0.9998683517640864,3.980099502487562e-05,0.0,0.006646766169154229,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/605.mcf_s-994B.stride.log,985274,249879,735395,0.7463862844244342,4858,0.004930608135401929,0.0065626211579014205,0,0.0,735395,0.7463862844244342,0.9934373788420986,740253,14393,14393,4,0.0002779128743139026,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.stride.events.csv.gz,1
605.mcf_s-994B,streamer,0.1835,1.00174691560214,985268,701493,0.711981917610234,0.052322070511183795,1775122,0,1775122,1687533,842607,154695,686999,18210,87589,0.0871461229143687,0.0916693184666611,0.0916693184666611,0.8946820508371649,0.010258449841757356,0.0,0.38701508966707643,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/605.mcf_s-994B.streamer.log,985268,283775,701493,0.711981917610234,93414,0.09481075199844104,0.11751563390434352,17792,0.025363047100968934,701493,0.711981917610234,0.8824843660956565,794907,1061254,1061254,44035,0.04149336539603149,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.streamer.events.csv.gz,1
605.mcf_s-994B,ampm,0.18874,1.0303526585871818,985273,687090,0.6973600210297044,0.07177972043559847,509840,0,509840,508759,149168,90495,58586,1305,1081,0.17749686176055232,0.1778740032117368,0.1778740032117368,0.9857843137254902,0.002559626549505727,0.0,0.1149105601757414,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/605.mcf_s-994B.ampm.log,985273,298183,687090,0.6973600210297044,59074,0.059956986540786156,0.07917026283766035,1267,0.0018440087906969975,687090,0.6973600210297044,0.9208297371623396,746164,298378,298378,601,0.002014223568761772,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.ampm.events.csv.gz,1
605.mcf_s-994B,spp,0.18874,1.0303526585871818,985273,735406,0.7463982063854383,0.006507498416017876,710459,0,710459,705508,19585,14384,5178,1257,4951,0.020246066275464172,0.02038814584668069,0.02038814584668069,0.9196342944824499,0.0017692787338889366,0.0,0.007288246049384975,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/605.mcf_s-994B.spp.log,985273,249867,735406,0.7463982063854383,5221,0.005299038946566079,0.007049432440351216,1105,0.0015025713687405325,735406,0.7463982063854383,0.9929505675596488,740627,363575,363575,3443,0.009469848036856219,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.spp.events.csv.gz,1
605.mcf_s-994B,ipcp,0.18318,1.0,985276,740223,0.7512849191495581,0.0,88,0,88,88,42,26,16,16,0,0.29545454545454547,0.29545454545454547,0.29545454545454547,0.6190476190476191,0.18181818181818182,0.0,0.18181818181818182,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/605.mcf_s-994B.ipcp.log,985276,245053,740223,0.7512849191495581,0,0.0,0.0,0,0.0,740223,0.7512849191495581,1.0,740223,3,3,0,0.0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.ipcp.events.csv.gz,1
605.mcf_s-994B,sms,0.18777,1.0250573206681952,985269,682187,0.6923865462122527,0.07840340005646947,1287553,60,1287493,1287493,893091,256319,635113,61126,0,0.19908380084396576,0.19908380084396576,0.19908380084396576,0.8074438091637921,0.04747676298045892,4.6600023455345137e-05,0.49329433247404064,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/605.mcf_s-994B.sms.log,985312,303082,682230,0.6923999707706797,99548,0.10103195739014648,0.12733538165566183,57629,0.08447151253975932,682230,0.6923999707706797,0.8726646183443382,781778,765510,765510,0,0.0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.sms.events.csv.gz,1
605.mcf_s-994B,sandbox,0.16905,0.9228627579430069,985257,714230,0.7249174580845403,0.035115093694737934,15930213,428375,15501838,13238296,7641216,449411,7188334,139527,2263542,0.0289908203143395,0.033947798115407,0.033947798115407,0.7630871161310698,0.009000674629679397,0.026890726445402833,0.46370849701822453,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/605.mcf_s-994B.sandbox.log,1130709,271027,859682,0.7603034909954728,209589,0.1853606896204063,0.19601111411419556,133738,0.15556682587282275,859682,0.7603034909954728,0.8039888858858044,1069271,9261364,9261364,960875,0.10375091617174317,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.sandbox.events.csv.gz,1
605.mcf_s-994B,power7,0.18163,0.9915383775521346,985267,715851,0.7265553398215915,0.03292521307768064,1466157,0,1466157,1386191,687520,129697,556672,17755,79966,0.08846051275545525,0.09356358539335488,0.09356358539335488,0.8795879337004584,0.01210989000495854,0.0,0.3796810300670392,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/605.mcf_s-994B.power7.log,985411,269416,715995,0.7265952988144033,77025,0.07816535435468043,0.09712869788908224,17367,0.024255755975949554,715995,0.7265952988144033,0.9028713021109177,793020,975958,975958,53320,0.05463349857268448,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.power7.events.csv.gz,1
620.omnetpp_s-874B,no_pref,0.2375,1.0,451398,316554,0.7012747065782303,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/620.omnetpp_s-874B.no_pref.log,451398,134844,316554,0.7012747065782303,0,0.0,0.0,0,0.0,316554,0.7012747065782303,1.0,316554,0,0,0,0.0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.no_pref.events.csv.gz,1
620.omnetpp_s-874B,stride,0.23833,1.0034947368421052,451396,313694,0.69494191353047,0.009034793431768355,19579,0,19579,19578,7781,5928,1849,0,1,0.30277337964145257,0.30278884462151395,0.30278884462151395,1.0,0.0,0.0,0.0944379181776393,0,,0,/home/qianruw/cache/formal_NN_training/results/base_prefetcher_zoo/behavior_audit/logs/620.omnetpp_s-874B.stride.log,451396,137702,313694,0.69494191353047,2991,0.006626110997882126,0.009444716358526612,0,0.0,313694,0.69494191353047,0.9905552836414734,316685,9896,9896,1,0.00010105092966855295,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.stride.events.csv.gz,1
